Pair: (ACCUMULO-12, ACCUMULO-11), Cosine Score: 0.9904950857162476, Label: 1
Pair: (ACCUMULO-109, ACCUMULO-5), Cosine Score: 0.8323091864585876, Label: 1
Pair: (ACCUMULO-171, ACCUMULO-5), Cosine Score: 0.9045989513397217, Label: 1
Pair: (ACCUMULO-171, ACCUMULO-109), Cosine Score: 0.8795588612556458, Label: 1
Pair: (ACCUMULO-230, ACCUMULO-208), Cosine Score: 0.944206714630127, Label: 1
Pair: (ACCUMULO-240, ACCUMULO-225), Cosine Score: 0.950765073299408, Label: 1
Pair: (ACCUMULO-298, ACCUMULO-58), Cosine Score: 0.7607348561286926, Label: 1
Pair: (ACCUMULO-545, ACCUMULO-258), Cosine Score: 0.807634711265564, Label: 1
Pair: (ACCUMULO-592, ACCUMULO-364), Cosine Score: 0.8203980922698975, Label: 1
Pair: (ACCUMULO-651, ACCUMULO-360), Cosine Score: 0.9368133544921875, Label: 1
Pair: (ACCUMULO-719, ACCUMULO-682), Cosine Score: 0.855288028717041, Label: 1
Pair: (ACCUMULO-773, ACCUMULO-453), Cosine Score: 0.5746217966079712, Label: 1
Pair: (ACCUMULO-816, ACCUMULO-750), Cosine Score: 0.8971090316772461, Label: 1
Pair: (ACCUMULO-828, ACCUMULO-827), Cosine Score: 0.8206433653831482, Label: 1
Pair: (ACCUMULO-888, ACCUMULO-734), Cosine Score: 0.8048739433288574, Label: 1
Pair: (ACCUMULO-911, ACCUMULO-889), Cosine Score: 0.7877623438835144, Label: 1
Pair: (ACCUMULO-912, ACCUMULO-761), Cosine Score: 0.8481346964836121, Label: 1
Pair: (ACCUMULO-959, ACCUMULO-97), Cosine Score: 0.8501391410827637, Label: 1
Pair: (ACCUMULO-1062, ACCUMULO-893), Cosine Score: 0.7116267085075378, Label: 1
Pair: (ACCUMULO-1071, ACCUMULO-429), Cosine Score: 0.5757750272750854, Label: 1
Pair: (ACCUMULO-1105, ACCUMULO-3659), Cosine Score: 0.9942685961723328, Label: 1
Pair: (ACCUMULO-1260, ACCUMULO-114), Cosine Score: 0.6193696856498718, Label: 1
Pair: (ACCUMULO-1278, ACCUMULO-1268), Cosine Score: 0.8323376178741455, Label: 1
Pair: (ACCUMULO-1473, ACCUMULO-1432), Cosine Score: 0.979414165019989, Label: 1
Pair: (ACCUMULO-1508, ACCUMULO-305), Cosine Score: 0.8660596013069153, Label: 1
Pair: (ACCUMULO-1568, ACCUMULO-1067), Cosine Score: 0.7724140286445618, Label: 1
Pair: (ACCUMULO-1615, ACCUMULO-1610), Cosine Score: 0.9731208682060242, Label: 1
Pair: (ACCUMULO-1619, ACCUMULO-1485), Cosine Score: 0.8649198412895203, Label: 1
Pair: (ACCUMULO-1647, ACCUMULO-1519), Cosine Score: 0.9556255340576172, Label: 1
Pair: (ACCUMULO-1649, ACCUMULO-734), Cosine Score: 0.8122530579566956, Label: 1
Pair: (ACCUMULO-1649, ACCUMULO-888), Cosine Score: 0.7596182823181152, Label: 1
Pair: (ACCUMULO-1649, ACCUMULO-898), Cosine Score: 0.8290714025497437, Label: 1
Pair: (ACCUMULO-1659, ACCUMULO-1658), Cosine Score: 0.9528717994689941, Label: 1
Pair: (ACCUMULO-1676, ACCUMULO-1362), Cosine Score: 0.7256410717964172, Label: 1
Pair: (ACCUMULO-1697, ACCUMULO-1379), Cosine Score: 0.7903907299041748, Label: 1
Pair: (ACCUMULO-1745, ACCUMULO-1653), Cosine Score: 0.8483659029006958, Label: 1
Pair: (ACCUMULO-1815, ACCUMULO-814), Cosine Score: 0.7261988520622253, Label: 1
Pair: (ACCUMULO-1827, ACCUMULO-1481), Cosine Score: 0.7325318455696106, Label: 1
Pair: (ACCUMULO-1840, ACCUMULO-1830), Cosine Score: 0.8583153486251831, Label: 1
Pair: (ACCUMULO-1852, ACCUMULO-1845), Cosine Score: 0.9116847515106201, Label: 1
Pair: (ACCUMULO-1876, ACCUMULO-1725), Cosine Score: 0.8635038733482361, Label: 1
Pair: (ACCUMULO-1884, ACCUMULO-1845), Cosine Score: 0.8963543176651001, Label: 1
Pair: (ACCUMULO-1884, ACCUMULO-1852), Cosine Score: 0.923153817653656, Label: 1
Pair: (ACCUMULO-1912, ACCUMULO-1809), Cosine Score: 0.8688204884529114, Label: 1
Pair: (ACCUMULO-1929, ACCUMULO-1300), Cosine Score: 0.8568780422210693, Label: 1
Pair: (ACCUMULO-1954, ACCUMULO-1900), Cosine Score: 0.8419197797775269, Label: 1
Pair: (ACCUMULO-1979, ACCUMULO-1978), Cosine Score: 0.9080222249031067, Label: 1
Pair: (ACCUMULO-2003, ACCUMULO-1978), Cosine Score: 0.9747099876403809, Label: 1
Pair: (ACCUMULO-2003, ACCUMULO-1979), Cosine Score: 0.916337788105011, Label: 1
Pair: (ACCUMULO-2054, ACCUMULO-1965), Cosine Score: 0.6824831366539001, Label: 1
Pair: (ACCUMULO-2071, ACCUMULO-2057), Cosine Score: 0.8375179767608643, Label: 1
Pair: (ACCUMULO-2082, ACCUMULO-1938), Cosine Score: 0.9761090874671936, Label: 1
Pair: (ACCUMULO-2091, ACCUMULO-2070), Cosine Score: 0.9670911431312561, Label: 1
Pair: (ACCUMULO-2106, ACCUMULO-2104), Cosine Score: 0.9678932428359985, Label: 1
Pair: (ACCUMULO-2168, ACCUMULO-1995), Cosine Score: 0.9630095958709717, Label: 1
Pair: (ACCUMULO-2329, ACCUMULO-2153), Cosine Score: 0.8055694103240967, Label: 1
Pair: (ACCUMULO-2333, ACCUMULO-1940), Cosine Score: 0.8698018193244934, Label: 1
Pair: (ACCUMULO-2360, ACCUMULO-2351), Cosine Score: 0.7982499599456787, Label: 1
Pair: (ACCUMULO-2370, ACCUMULO-3658), Cosine Score: 0.9429292678833008, Label: 1
Pair: (ACCUMULO-2408, ACCUMULO-1861), Cosine Score: 0.872824490070343, Label: 1
Pair: (ACCUMULO-2417, ACCUMULO-2405), Cosine Score: 0.9700986742973328, Label: 1
Pair: (ACCUMULO-2426, ACCUMULO-1920), Cosine Score: 0.8505380749702454, Label: 1
Pair: (ACCUMULO-2481, ACCUMULO-1723), Cosine Score: 0.7158002257347107, Label: 1
Pair: (ACCUMULO-2502, ACCUMULO-2419), Cosine Score: 0.7323551774024963, Label: 1
Pair: (ACCUMULO-2505, ACCUMULO-2489), Cosine Score: 0.9272631406784058, Label: 1
Pair: (ACCUMULO-2516, ACCUMULO-2515), Cosine Score: 0.9035305976867676, Label: 1
Pair: (ACCUMULO-2559, ACCUMULO-2511), Cosine Score: 0.961244523525238, Label: 1
Pair: (ACCUMULO-2875, ACCUMULO-2874), Cosine Score: 0.9588277339935303, Label: 1
Pair: (ACCUMULO-2897, ACCUMULO-2658), Cosine Score: 0.9474119544029236, Label: 1
Pair: (ACCUMULO-2928, ACCUMULO-1756), Cosine Score: 0.8443466424942017, Label: 1
Pair: (ACCUMULO-3141, ACCUMULO-2673), Cosine Score: 0.8062979578971863, Label: 1
Pair: (ACCUMULO-3180, ACCUMULO-3179), Cosine Score: 1, Label: 1
Pair: (ACCUMULO-3182, ACCUMULO-1759), Cosine Score: 0.92353755235672, Label: 1
Pair: (ACCUMULO-3239, ACCUMULO-2341), Cosine Score: 0.9878749847412109, Label: 1
Pair: (ACCUMULO-3266, ACCUMULO-3264), Cosine Score: 0.8817518353462219, Label: 1
Pair: (ACCUMULO-3279, ACCUMULO-2727), Cosine Score: 0.8481746912002563, Label: 1
Pair: (ACCUMULO-3297, ACCUMULO-97), Cosine Score: 0.8113162517547607, Label: 1
Pair: (ACCUMULO-3297, ACCUMULO-959), Cosine Score: 0.8500890135765076, Label: 1
Pair: (ACCUMULO-3359, ACCUMULO-97), Cosine Score: 0.7526555061340332, Label: 1
Pair: (ACCUMULO-3359, ACCUMULO-959), Cosine Score: 0.7925093770027161, Label: 1
Pair: (ACCUMULO-3359, ACCUMULO-3297), Cosine Score: 0.8420259952545166, Label: 1
Pair: (ACCUMULO-3382, ACCUMULO-3218), Cosine Score: 0.9187568426132202, Label: 1
Pair: (ACCUMULO-3485, ACCUMULO-3218), Cosine Score: 0.9363942742347717, Label: 1
Pair: (ACCUMULO-3485, ACCUMULO-3382), Cosine Score: 0.8948994278907776, Label: 1
Pair: (ACCUMULO-3596, ACCUMULO-3552), Cosine Score: 0.7789319753646851, Label: 1
Pair: (ACCUMULO-3863, ACCUMULO-3862), Cosine Score: 1, Label: 1
Pair: (ACCUMULO-3910, ACCUMULO-2287), Cosine Score: 0.7255514860153198, Label: 1
Pair: (ACCUMULO-3969, ACCUMULO-3958), Cosine Score: 0.8022004961967468, Label: 1
Pair: (ACCUMULO-1069, ACCUMULO-1398), Cosine Score: 0.6627086400985718, Label: 0
Pair: (ACCUMULO-3671, ACCUMULO-3630), Cosine Score: 0.7730048894882202, Label: 0
Pair: (ACCUMULO-2838, ACCUMULO-468), Cosine Score: 0.4905349612236023, Label: 0
Pair: (ACCUMULO-3270, ACCUMULO-3526), Cosine Score: 0.7187287211418152, Label: 0
Pair: (ACCUMULO-1304, ACCUMULO-2916), Cosine Score: 0.5768304467201233, Label: 0
Pair: (ACCUMULO-3804, ACCUMULO-3594), Cosine Score: 0.720236599445343, Label: 0
Pair: (ACCUMULO-3141, ACCUMULO-2227), Cosine Score: 0.8714361786842346, Label: 0
Pair: (ACCUMULO-2322, ACCUMULO-804), Cosine Score: 0.7123816609382629, Label: 0
Pair: (ACCUMULO-2609, ACCUMULO-98), Cosine Score: 0.645519495010376, Label: 0
Pair: (ACCUMULO-3763, ACCUMULO-512), Cosine Score: 0.8392511010169983, Label: 0
Pair: (ACCUMULO-424, ACCUMULO-1571), Cosine Score: 0.795353353023529, Label: 0
Pair: (ACCUMULO-570, ACCUMULO-2438), Cosine Score: 0.7608866691589355, Label: 0
Pair: (ACCUMULO-4090, ACCUMULO-1379), Cosine Score: 0.8170912265777588, Label: 0
Pair: (ACCUMULO-2752, ACCUMULO-3687), Cosine Score: 0.8605158925056458, Label: 0
Pair: (ACCUMULO-2556, ACCUMULO-3971), Cosine Score: 0.5498216152191162, Label: 0
Pair: (ACCUMULO-2768, ACCUMULO-114), Cosine Score: 0.336028128862381, Label: 0
Pair: (ACCUMULO-3315, ACCUMULO-1038), Cosine Score: 0.378339946269989, Label: 0
Pair: (ACCUMULO-701, ACCUMULO-1781), Cosine Score: 0.578180730342865, Label: 0
Pair: (ACCUMULO-2434, ACCUMULO-3750), Cosine Score: 0.8682857751846313, Label: 0
Pair: (ACCUMULO-3927, ACCUMULO-2379), Cosine Score: 0.6766505241394043, Label: 0
Pair: (ACCUMULO-2354, ACCUMULO-1139), Cosine Score: 0.7304793000221252, Label: 0
Pair: (ACCUMULO-1230, ACCUMULO-4113), Cosine Score: 0.6107820272445679, Label: 0
Pair: (ACCUMULO-1758, ACCUMULO-3805), Cosine Score: 0.6783850789070129, Label: 0
Pair: (ACCUMULO-1207, ACCUMULO-2611), Cosine Score: 0.7304588556289673, Label: 0
Pair: (ACCUMULO-864, ACCUMULO-202), Cosine Score: 0.6778224110603333, Label: 0
Pair: (ACCUMULO-3473, ACCUMULO-3053), Cosine Score: 0.7578621506690979, Label: 0
Pair: (ACCUMULO-2906, ACCUMULO-2267), Cosine Score: 0.8002799153327942, Label: 0
Pair: (ACCUMULO-3895, ACCUMULO-3190), Cosine Score: 0.9042584300041199, Label: 0
Pair: (ACCUMULO-3868, ACCUMULO-3031), Cosine Score: 0.7244950532913208, Label: 0
Pair: (ACCUMULO-675, ACCUMULO-2232), Cosine Score: 0.7044224739074707, Label: 0
Pair: (ACCUMULO-860, ACCUMULO-1751), Cosine Score: 0.6577028036117554, Label: 0
Pair: (ACCUMULO-2826, ACCUMULO-1651), Cosine Score: 0.6829628348350525, Label: 0
Pair: (ACCUMULO-1800, ACCUMULO-4039), Cosine Score: 0.47011598944664, Label: 0
Pair: (ACCUMULO-3483, ACCUMULO-3820), Cosine Score: 0.7893680930137634, Label: 0
Pair: (ACCUMULO-2833, ACCUMULO-1891), Cosine Score: 0.705306351184845, Label: 0
Pair: (ACCUMULO-3700, ACCUMULO-3688), Cosine Score: 0.690973699092865, Label: 0
Pair: (ACCUMULO-1786, ACCUMULO-1105), Cosine Score: 0.8461377620697021, Label: 0
Pair: (ACCUMULO-1236, ACCUMULO-2237), Cosine Score: 0.8111844062805176, Label: 0
Pair: (ACCUMULO-2577, ACCUMULO-2104), Cosine Score: 0.6817297339439392, Label: 0
Pair: (ACCUMULO-3999, ACCUMULO-3148), Cosine Score: 0.7069541215896606, Label: 0
Pair: (ACCUMULO-309, ACCUMULO-69), Cosine Score: 0.8650261163711548, Label: 0
Pair: (ACCUMULO-2193, ACCUMULO-3220), Cosine Score: 0.5808234214782715, Label: 0
Pair: (ACCUMULO-1318, ACCUMULO-1711), Cosine Score: 0.6036234498023987, Label: 0
Pair: (ACCUMULO-3351, ACCUMULO-2921), Cosine Score: 0.8267255425453186, Label: 0
Pair: (ACCUMULO-3031, ACCUMULO-631), Cosine Score: 0.8033023476600647, Label: 0
Pair: (ACCUMULO-569, ACCUMULO-3691), Cosine Score: 0.7582051157951355, Label: 0
Pair: (ACCUMULO-1517, ACCUMULO-2385), Cosine Score: 0.6878473162651062, Label: 0
Pair: (ACCUMULO-910, ACCUMULO-3351), Cosine Score: 0.8616904616355896, Label: 0
Pair: (ACCUMULO-4045, ACCUMULO-2080), Cosine Score: 0.7655203342437744, Label: 0
Pair: (ACCUMULO-1549, ACCUMULO-2713), Cosine Score: 0.5561552047729492, Label: 0
Pair: (ACCUMULO-3574, ACCUMULO-1722), Cosine Score: 0.5796377658843994, Label: 0
Pair: (ACCUMULO-249, ACCUMULO-2600), Cosine Score: 0.2762000262737274, Label: 0
Pair: (ACCUMULO-886, ACCUMULO-1833), Cosine Score: 0.509361743927002, Label: 0
Pair: (ACCUMULO-3765, ACCUMULO-3225), Cosine Score: 0.6346994638442993, Label: 0
Pair: (ACCUMULO-3320, ACCUMULO-3584), Cosine Score: 0.6726177334785461, Label: 0
Pair: (ACCUMULO-3131, ACCUMULO-1545), Cosine Score: 0.7136260271072388, Label: 0
Pair: (ACCUMULO-701, ACCUMULO-2722), Cosine Score: 0.620762050151825, Label: 0
Pair: (ACCUMULO-2955, ACCUMULO-1352), Cosine Score: 0.9014415144920349, Label: 0
Pair: (ACCUMULO-2585, ACCUMULO-713), Cosine Score: 0.6093984842300415, Label: 0
Pair: (ACCUMULO-3343, ACCUMULO-889), Cosine Score: 0.7685433030128479, Label: 0
Pair: (ACCUMULO-353, ACCUMULO-1807), Cosine Score: 0.7546244859695435, Label: 0
Pair: (ACCUMULO-1687, ACCUMULO-3827), Cosine Score: 0.6187435388565063, Label: 0
Pair: (ACCUMULO-2841, ACCUMULO-1658), Cosine Score: 0.7719255685806274, Label: 0
Pair: (ACCUMULO-1998, ACCUMULO-2868), Cosine Score: 0.7078235745429993, Label: 0
Pair: (ACCUMULO-3327, ACCUMULO-3366), Cosine Score: 0.4995775818824768, Label: 0
Pair: (ACCUMULO-1063, ACCUMULO-2347), Cosine Score: 0.8680059909820557, Label: 0
Pair: (ACCUMULO-3904, ACCUMULO-500), Cosine Score: 0.8539099097251892, Label: 0
Pair: (ACCUMULO-3096, ACCUMULO-1529), Cosine Score: 0.7647930383682251, Label: 0
Pair: (ACCUMULO-1170, ACCUMULO-1000), Cosine Score: 0.7027241587638855, Label: 0
Pair: (ACCUMULO-1751, ACCUMULO-2293), Cosine Score: 0.7418987154960632, Label: 0
Pair: (ACCUMULO-3984, ACCUMULO-2268), Cosine Score: 0.6675370335578918, Label: 0
Pair: (ACCUMULO-2124, ACCUMULO-3485), Cosine Score: 0.8554471731185913, Label: 0
Pair: (ACCUMULO-1932, ACCUMULO-969), Cosine Score: 0.6494183540344238, Label: 0
Pair: (ACCUMULO-3761, ACCUMULO-1198), Cosine Score: 0.7416809797286987, Label: 0
Pair: (ACCUMULO-158, ACCUMULO-1974), Cosine Score: 0.7816532850265503, Label: 0
Pair: (ACCUMULO-2401, ACCUMULO-2468), Cosine Score: 0.7167789340019226, Label: 0
Pair: (ACCUMULO-2932, ACCUMULO-1972), Cosine Score: 0.618479311466217, Label: 0
Pair: (ACCUMULO-2417, ACCUMULO-1306), Cosine Score: 0.6285716891288757, Label: 0
Pair: (ACCUMULO-3785, ACCUMULO-191), Cosine Score: 0.7223262786865234, Label: 0
Pair: (ACCUMULO-1386, ACCUMULO-1180), Cosine Score: 0.6430680155754089, Label: 0
Pair: (ACCUMULO-1987, ACCUMULO-2139), Cosine Score: 0.7719965577125549, Label: 0
Pair: (ACCUMULO-3631, ACCUMULO-1437), Cosine Score: 0.7694017291069031, Label: 0
Pair: (ACCUMULO-27, ACCUMULO-3892), Cosine Score: 0.9154440760612488, Label: 0
Pair: (ACCUMULO-1101, ACCUMULO-648), Cosine Score: 0.8014979958534241, Label: 0
Pair: (ACCUMULO-1729, ACCUMULO-32), Cosine Score: 0.8189073204994202, Label: 0
Pair: (ACCUMULO-3904, ACCUMULO-3037), Cosine Score: 0.6578166484832764, Label: 0
Pair: (ACCUMULO-1423, ACCUMULO-1247), Cosine Score: 0.5504478216171265, Label: 0
Pair: (ACCUMULO-1974, ACCUMULO-1498), Cosine Score: 0.5967702269554138, Label: 0
