Pair: (AMQ-220, AMQ-206), Cosine Score: 0.9703666567802429, Label: 1
Pair: (AMQ-273, AMQ-238), Cosine Score: 0.8664453625679016, Label: 1
Pair: (AMQ-275, AMQ-219), Cosine Score: 0.8835138082504272, Label: 1
Pair: (AMQ-337, AMQ-334), Cosine Score: 0.9660909175872803, Label: 1
Pair: (AMQ-377, AMQ-368), Cosine Score: 0.8090351819992065, Label: 1
Pair: (AMQ-466, AMQ-457), Cosine Score: 0.9889384508132935, Label: 1
Pair: (AMQ-646, AMQ-587), Cosine Score: 0.8637856841087341, Label: 1
Pair: (AMQ-678, AMQ-365), Cosine Score: 0.9577074646949768, Label: 1
Pair: (AMQ-714, AMQ-713), Cosine Score: 0.8090969324111938, Label: 1
Pair: (AMQ-721, AMQ-647), Cosine Score: 0.8880839347839355, Label: 1
Pair: (AMQ-738, AMQ-734), Cosine Score: 0.8071216940879822, Label: 1
Pair: (AMQ-789, AMQ-768), Cosine Score: 0.7861388921737671, Label: 1
Pair: (AMQ-844, AMQ-724), Cosine Score: 0.8865177631378174, Label: 1
Pair: (AMQ-901, AMQ-899), Cosine Score: 0.9700799584388733, Label: 1
Pair: (AMQ-1050, AMQ-1048), Cosine Score: 0.9226358532905579, Label: 1
Pair: (AMQ-1088, AMQ-1054), Cosine Score: 0.9014562368392944, Label: 1
Pair: (AMQ-1134, AMQ-1067), Cosine Score: 0.8327721357345581, Label: 1
Pair: (AMQ-1156, AMQ-1137), Cosine Score: 0.9129605293273926, Label: 1
Pair: (AMQ-1226, AMQ-1201), Cosine Score: 0.9551693797111511, Label: 1
Pair: (AMQ-1228, AMQ-895), Cosine Score: 0.9939855933189392, Label: 1
Pair: (AMQ-1381, AMQ-1330), Cosine Score: 0.9556282758712769, Label: 1
Pair: (AMQ-1534, AMQ-1013), Cosine Score: 0.8621952533721924, Label: 1
Pair: (AMQ-1695, AMQ-1520), Cosine Score: 0.9777747392654419, Label: 1
Pair: (AMQ-1695, AMQ-1561), Cosine Score: 0.9743025302886963, Label: 1
Pair: (AMQ-1743, AMQ-1740), Cosine Score: 0.8619180917739868, Label: 1
Pair: (AMQ-1800, AMQ-1730), Cosine Score: 0.8585931062698364, Label: 1
Pair: (AMQ-1936, AMQ-1693), Cosine Score: 0.8979896903038025, Label: 1
Pair: (AMQ-1940, AMQ-1693), Cosine Score: 0.9257012009620667, Label: 1
Pair: (AMQ-1940, AMQ-1936), Cosine Score: 0.8449987173080444, Label: 1
Pair: (AMQ-2087, AMQ-1601), Cosine Score: 0.7113621234893799, Label: 1
Pair: (AMQ-2154, AMQ-1588), Cosine Score: 0.9184253215789795, Label: 1
Pair: (AMQ-2166, AMQ-1437), Cosine Score: 0.9556396007537842, Label: 1
Pair: (AMQ-2211, AMQ-1132), Cosine Score: 0.9376692771911621, Label: 1
Pair: (AMQ-2319, AMQ-2094), Cosine Score: 0.8990479111671448, Label: 1
Pair: (AMQ-2494, AMQ-2352), Cosine Score: 0.9344705939292908, Label: 1
Pair: (AMQ-2497, AMQ-1780), Cosine Score: 0.9263541102409363, Label: 1
Pair: (AMQ-2596, AMQ-2530), Cosine Score: 0.9042685031890869, Label: 1
Pair: (AMQ-2609, AMQ-1308), Cosine Score: 0.9614195227622986, Label: 1
Pair: (AMQ-2745, AMQ-2217), Cosine Score: 0.8310138583183289, Label: 1
Pair: (AMQ-2800, AMQ-2756), Cosine Score: 0.9199877977371216, Label: 1
Pair: (AMQ-2877, AMQ-2612), Cosine Score: 0.9321422576904297, Label: 1
Pair: (AMQ-2939, AMQ-2709), Cosine Score: 0.7991459965705872, Label: 1
Pair: (AMQ-2956, AMQ-2696), Cosine Score: 0.9548442959785461, Label: 1
Pair: (AMQ-3547, AMQ-3529), Cosine Score: 0.9544376134872437, Label: 1
Pair: (AMQ-3552, AMQ-3247), Cosine Score: 0.9526023268699646, Label: 1
Pair: (AMQ-3593, AMQ-2860), Cosine Score: 0.8209519386291504, Label: 1
Pair: (AMQ-3602, AMQ-3465), Cosine Score: 0.9359725117683411, Label: 1
Pair: (AMQ-3648, AMQ-2935), Cosine Score: 0.951174259185791, Label: 1
Pair: (AMQ-3655, AMQ-3526), Cosine Score: 0.8908541798591614, Label: 1
