Pair: (CB-149, CB-136), Cosine Score: 0.9685993790626526, Label: 1
Pair: (CB-150, CB-115), Cosine Score: 0.9732789397239685, Label: 1
Pair: (CB-183, CB-54), Cosine Score: 0.8811732530593872, Label: 1
Pair: (CB-470, CB-243), Cosine Score: 0.8847123980522156, Label: 1
Pair: (CB-975, CB-821), Cosine Score: 0.746089518070221, Label: 1
Pair: (CB-1006, CB-989), Cosine Score: 0.9220271110534668, Label: 1
Pair: (CB-1138, CB-502), Cosine Score: 0.728725790977478, Label: 1
Pair: (CB-1172, CB-1167), Cosine Score: 0.9427562952041626, Label: 1
Pair: (CB-1195, CB-1184), Cosine Score: 0.8665250539779663, Label: 1
Pair: (CB-1277, CB-1124), Cosine Score: 0.8886070251464844, Label: 1
Pair: (CB-1316, CB-994), Cosine Score: 0.8123414516448975, Label: 1
Pair: (CB-1407, CB-1360), Cosine Score: 0.8878810405731201, Label: 1
Pair: (CB-1465, CB-1372), Cosine Score: 0.6561815142631531, Label: 1
Pair: (CB-1482, CB-1454), Cosine Score: 0.810846209526062, Label: 1
Pair: (CB-1497, CB-1360), Cosine Score: 0.8835697770118713, Label: 1
Pair: (CB-1497, CB-1407), Cosine Score: 0.9409574866294861, Label: 1
Pair: (CB-1819, CB-89), Cosine Score: 0.8683661222457886, Label: 1
Pair: (CB-1972, CB-1970), Cosine Score: 0.886606752872467, Label: 1
Pair: (CB-2177, CB-1802), Cosine Score: 0.9467712044715881, Label: 1
Pair: (CB-2439, CB-1964), Cosine Score: 0.8123077750205994, Label: 1
Pair: (CB-2501, CB-2185), Cosine Score: 0.8372598886489868, Label: 1
Pair: (CB-2519, CB-2452), Cosine Score: 0.8317619562149048, Label: 1
Pair: (CB-2651, CB-2650), Cosine Score: 0.9113934636116028, Label: 1
Pair: (CB-2841, CB-2618), Cosine Score: 0.7889920473098755, Label: 1
Pair: (CB-2841, CB-2725), Cosine Score: 0.7218344807624817, Label: 1
Pair: (CB-2900, CB-2220), Cosine Score: 0.8517893552780151, Label: 1
Pair: (CB-2937, CB-2602), Cosine Score: 0.7235320806503296, Label: 1
Pair: (CB-2961, CB-2537), Cosine Score: 0.8843729496002197, Label: 1
Pair: (CB-2963, CB-2199), Cosine Score: 0.5541335344314575, Label: 1
Pair: (CB-3051, CB-3034), Cosine Score: 0.9706550240516663, Label: 1
Pair: (CB-3192, CB-3034), Cosine Score: 0.8068732619285583, Label: 1
Pair: (CB-3192, CB-3051), Cosine Score: 0.8410733342170715, Label: 1
Pair: (CB-3294, CB-604), Cosine Score: 0.846462607383728, Label: 1
Pair: (CB-3301, CB-1108), Cosine Score: 0.7852476835250854, Label: 1
Pair: (CB-3301, CB-2594), Cosine Score: 0.8098270893096924, Label: 1
Pair: (CB-3301, CB-2606), Cosine Score: 0.7989370822906494, Label: 1
Pair: (CB-3303, CB-3029), Cosine Score: 0.8292559385299683, Label: 1
Pair: (CB-3354, CB-3327), Cosine Score: 0.8236122131347656, Label: 1
Pair: (CB-3385, CB-3029), Cosine Score: 0.8170757293701172, Label: 1
Pair: (CB-3385, CB-3303), Cosine Score: 0.7881593108177185, Label: 1
Pair: (CB-3456, CB-1372), Cosine Score: 0.8076291680335999, Label: 1
Pair: (CB-3456, CB-1465), Cosine Score: 0.7829501032829285, Label: 1
Pair: (CB-3530, CB-2602), Cosine Score: 0.7050580382347107, Label: 1
Pair: (CB-3530, CB-2937), Cosine Score: 0.8365226984024048, Label: 1
Pair: (CB-3612, CB-2722), Cosine Score: 0.7937904000282288, Label: 1
Pair: (CB-3624, CB-3578), Cosine Score: 0.9086214900016785, Label: 1
Pair: (CB-3754, CB-2728), Cosine Score: 0.9059574007987976, Label: 1
Pair: (CB-3853, CB-3852), Cosine Score: 1, Label: 1
Pair: (CB-3979, CB-1108), Cosine Score: 0.6495742201805115, Label: 1
Pair: (CB-3979, CB-2594), Cosine Score: 0.6606042385101318, Label: 1
Pair: (CB-3979, CB-2606), Cosine Score: 0.5858716368675232, Label: 1
Pair: (CB-3979, CB-3301), Cosine Score: 0.7865941524505615, Label: 1
Pair: (CB-3979, CB-3355), Cosine Score: 0.7149558067321777, Label: 1
Pair: (CB-3979, CB-3571), Cosine Score: 0.6805600523948669, Label: 1
Pair: (CB-4055, CB-4054), Cosine Score: 0.833107590675354, Label: 1
Pair: (CB-4084, CB-4069), Cosine Score: 0.8843769431114197, Label: 1
Pair: (CB-4196, CB-4074), Cosine Score: 0.857626736164093, Label: 1
Pair: (CB-4273, CB-3296), Cosine Score: 0.7689486742019653, Label: 1
Pair: (CB-4320, CB-4003), Cosine Score: 0.8428316116333008, Label: 1
Pair: (CB-4326, CB-4198), Cosine Score: 0.9325284957885742, Label: 1
Pair: (CB-4343, CB-4148), Cosine Score: 0.8247789740562439, Label: 1
Pair: (CB-4348, CB-4341), Cosine Score: 0.8440735936164856, Label: 1
Pair: (CB-4387, CB-1108), Cosine Score: 0.7750866413116455, Label: 1
Pair: (CB-4387, CB-2594), Cosine Score: 0.7932913899421692, Label: 1
Pair: (CB-4387, CB-2606), Cosine Score: 0.7583271861076355, Label: 1
Pair: (CB-4387, CB-3301), Cosine Score: 0.848430871963501, Label: 1
Pair: (CB-4387, CB-3355), Cosine Score: 0.7694473266601562, Label: 1
Pair: (CB-4387, CB-3571), Cosine Score: 0.7089738249778748, Label: 1
Pair: (CB-4387, CB-3979), Cosine Score: 0.8344180583953857, Label: 1
Pair: (CB-4387, CB-4378), Cosine Score: 0.7452578544616699, Label: 1
Pair: (CB-4388, CB-1108), Cosine Score: 0.7893838882446289, Label: 1
Pair: (CB-4388, CB-2594), Cosine Score: 0.8190224170684814, Label: 1
Pair: (CB-4388, CB-2606), Cosine Score: 0.8032369017601013, Label: 1
Pair: (CB-4388, CB-3301), Cosine Score: 0.8818254470825195, Label: 1
Pair: (CB-4388, CB-3355), Cosine Score: 0.8161228895187378, Label: 1
Pair: (CB-4388, CB-3571), Cosine Score: 0.779679536819458, Label: 1
Pair: (CB-4388, CB-3979), Cosine Score: 0.8036993145942688, Label: 1
Pair: (CB-4388, CB-4378), Cosine Score: 0.7747822403907776, Label: 1
Pair: (CB-4388, CB-4387), Cosine Score: 0.9093166589736938, Label: 1
Pair: (CB-4420, CB-2434), Cosine Score: 0.8028562664985657, Label: 1
Pair: (CB-4423, CB-4148), Cosine Score: 0.8017190098762512, Label: 1
Pair: (CB-4423, CB-4343), Cosine Score: 0.9366666674613953, Label: 1
Pair: (CB-4425, CB-4414), Cosine Score: 0.9096301198005676, Label: 1
Pair: (CB-4478, CB-2602), Cosine Score: 0.6053026914596558, Label: 1
Pair: (CB-4478, CB-2937), Cosine Score: 0.6931983232498169, Label: 1
Pair: (CB-4478, CB-3530), Cosine Score: 0.7887458205223083, Label: 1
Pair: (CB-4479, CB-2293), Cosine Score: 0.8229181170463562, Label: 1
Pair: (CB-4507, CB-3191), Cosine Score: 0.8029946684837341, Label: 1
Pair: (CB-4507, CB-4485), Cosine Score: 0.8579346537590027, Label: 1
Pair: (CB-4576, CB-4575), Cosine Score: 0.966543436050415, Label: 1
Pair: (CB-4581, CB-4374), Cosine Score: 0.8084232211112976, Label: 1
Pair: (CB-4599, CB-4590), Cosine Score: 0.8249302506446838, Label: 1
Pair: (CB-4610, CB-2845), Cosine Score: 0.7908129096031189, Label: 1
Pair: (CB-4698, CB-3576), Cosine Score: 0.8667424321174622, Label: 1
Pair: (CB-4717, CB-4668), Cosine Score: 0.9294022917747498, Label: 1
Pair: (CB-4720, CB-4719), Cosine Score: 0.9586946368217468, Label: 1
Pair: (CB-4728, CB-4713), Cosine Score: 0.9838980436325073, Label: 1
Pair: (CB-4748, CB-4578), Cosine Score: 0.8886350989341736, Label: 1
Pair: (CB-4776, CB-2448), Cosine Score: 0.8879605531692505, Label: 1
Pair: (CB-4825, CB-4014), Cosine Score: 0.878250777721405, Label: 1
Pair: (CB-4889, CB-4874), Cosine Score: 0.9211024641990662, Label: 1
Pair: (CB-4940, CB-4862), Cosine Score: 0.8127576112747192, Label: 1
Pair: (CB-4988, CB-4930), Cosine Score: 0.8354501128196716, Label: 1
Pair: (CB-5000, CB-4883), Cosine Score: 0.9138995409011841, Label: 1
Pair: (CB-5004, CB-4527), Cosine Score: 0.8416571021080017, Label: 1
Pair: (CB-5005, CB-4811), Cosine Score: 0.8639142513275146, Label: 1
Pair: (CB-5017, CB-5011), Cosine Score: 0.8034838438034058, Label: 1
Pair: (CB-5074, CB-4811), Cosine Score: 0.9078134298324585, Label: 1
Pair: (CB-5074, CB-5005), Cosine Score: 0.8624916076660156, Label: 1
