Pair: (DRILL-93, DRILL-91), Cosine Score: 1, Label: 1
Pair: (DRILL-165, DRILL-106), Cosine Score: 0.7820813655853271, Label: 1
Pair: (DRILL-209, DRILL-208), Cosine Score: 0.8799885511398315, Label: 1
Pair: (DRILL-399, DRILL-397), Cosine Score: 0.8172773718833923, Label: 1
Pair: (DRILL-406, DRILL-365), Cosine Score: 0.8973349332809448, Label: 1
Pair: (DRILL-428, DRILL-419), Cosine Score: 0.9617862105369568, Label: 1
Pair: (DRILL-453, DRILL-405), Cosine Score: 0.9141144752502441, Label: 1
Pair: (DRILL-456, DRILL-220), Cosine Score: 0.7899259924888611, Label: 1
Pair: (DRILL-709, DRILL-520), Cosine Score: 0.8635907173156738, Label: 1
Pair: (DRILL-744, DRILL-699), Cosine Score: 0.6919403672218323, Label: 1
Pair: (DRILL-746, DRILL-600), Cosine Score: 0.9029902219772339, Label: 1
Pair: (DRILL-796, DRILL-670), Cosine Score: 0.9082598090171814, Label: 1
Pair: (DRILL-822, DRILL-586), Cosine Score: 0.9330135583877563, Label: 1
Pair: (DRILL-828, DRILL-672), Cosine Score: 0.7325294613838196, Label: 1
Pair: (DRILL-857, DRILL-585), Cosine Score: 0.7479945421218872, Label: 1
Pair: (DRILL-895, DRILL-891), Cosine Score: 0.8293852210044861, Label: 1
Pair: (DRILL-1011, DRILL-991), Cosine Score: 0.44482627511024475, Label: 1
Pair: (DRILL-1039, DRILL-891), Cosine Score: 0.8944658637046814, Label: 1
Pair: (DRILL-1039, DRILL-895), Cosine Score: 0.797537088394165, Label: 1
Pair: (DRILL-1098, DRILL-1089), Cosine Score: 0.80470871925354, Label: 1
Pair: (DRILL-1109, DRILL-606), Cosine Score: 0.6751102805137634, Label: 1
Pair: (DRILL-1129, DRILL-1086), Cosine Score: 0.6916714310646057, Label: 1
Pair: (DRILL-1148, DRILL-1134), Cosine Score: 0.7643080949783325, Label: 1
Pair: (DRILL-1156, DRILL-1062), Cosine Score: 0.7837489247322083, Label: 1
Pair: (DRILL-1157, DRILL-1138), Cosine Score: 0.8460231423377991, Label: 1
Pair: (DRILL-1172, DRILL-541), Cosine Score: 0.8750078678131104, Label: 1
Pair: (DRILL-1186, DRILL-1097), Cosine Score: 0.8855559229850769, Label: 1
Pair: (DRILL-1214, DRILL-1199), Cosine Score: 0.6767496466636658, Label: 1
Pair: (DRILL-1271, DRILL-1240), Cosine Score: 0.8163148164749146, Label: 1
Pair: (DRILL-1274, DRILL-1267), Cosine Score: 0.7868338227272034, Label: 1
Pair: (DRILL-1288, DRILL-1278), Cosine Score: 0.8382837176322937, Label: 1
Pair: (DRILL-1301, DRILL-1168), Cosine Score: 0.8147103190422058, Label: 1
Pair: (DRILL-1310, DRILL-1296), Cosine Score: 0.9453752636909485, Label: 1
Pair: (DRILL-1324, DRILL-1311), Cosine Score: 0.4799385964870453, Label: 1
Pair: (DRILL-1347, DRILL-1168), Cosine Score: 0.7654215693473816, Label: 1
Pair: (DRILL-1347, DRILL-1301), Cosine Score: 0.8165348172187805, Label: 1
Pair: (DRILL-1349, DRILL-1348), Cosine Score: 1, Label: 1
Pair: (DRILL-1397, DRILL-1396), Cosine Score: 0.9102987051010132, Label: 1
Pair: (DRILL-1408, DRILL-1401), Cosine Score: 0.7948328256607056, Label: 1
Pair: (DRILL-1420, DRILL-1398), Cosine Score: 0.7977398633956909, Label: 1
Pair: (DRILL-1423, DRILL-1396), Cosine Score: 0.7853838205337524, Label: 1
Pair: (DRILL-1423, DRILL-1397), Cosine Score: 0.771673321723938, Label: 1
Pair: (DRILL-1430, DRILL-975), Cosine Score: 0.5519407391548157, Label: 1
Pair: (DRILL-1430, DRILL-986), Cosine Score: 0.8196337819099426, Label: 1
Pair: (DRILL-1434, DRILL-1362), Cosine Score: 0.9237135052680969, Label: 1
Pair: (DRILL-1440, DRILL-1318), Cosine Score: 0.765157163143158, Label: 1
Pair: (DRILL-1447, DRILL-1125), Cosine Score: 0.8379210233688354, Label: 1
Pair: (DRILL-1451, DRILL-1185), Cosine Score: 0.8244799375534058, Label: 1
Pair: (DRILL-1471, DRILL-1433), Cosine Score: 0.8630763292312622, Label: 1
Pair: (DRILL-1481, DRILL-1320), Cosine Score: 0.8295974731445312, Label: 1
Pair: (DRILL-1515, DRILL-1373), Cosine Score: 0.4771694540977478, Label: 1
Pair: (DRILL-1519, DRILL-1504), Cosine Score: 0.8508694767951965, Label: 1
Pair: (DRILL-1532, DRILL-1196), Cosine Score: 0.8564736247062683, Label: 1
Pair: (DRILL-1543, DRILL-1521), Cosine Score: 0.9394218325614929, Label: 1
Pair: (DRILL-1547, DRILL-1536), Cosine Score: 0.8415189981460571, Label: 1
Pair: (DRILL-1565, DRILL-1561), Cosine Score: 0.8971999883651733, Label: 1
Pair: (DRILL-1572, DRILL-1483), Cosine Score: 0.9012389779090881, Label: 1
Pair: (DRILL-1594, DRILL-1257), Cosine Score: 0.6893107891082764, Label: 1
Pair: (DRILL-1606, DRILL-1581), Cosine Score: 0.7429044246673584, Label: 1
Pair: (DRILL-1613, DRILL-1311), Cosine Score: 0.7547715306282043, Label: 1
Pair: (DRILL-1613, DRILL-1324), Cosine Score: 0.7334065437316895, Label: 1
Pair: (DRILL-1623, DRILL-1417), Cosine Score: 0.8914284706115723, Label: 1
Pair: (DRILL-1627, DRILL-1449), Cosine Score: 0.8926510214805603, Label: 1
Pair: (DRILL-1640, DRILL-1374), Cosine Score: 0.8762816786766052, Label: 1
Pair: (DRILL-1643, DRILL-1642), Cosine Score: 0.6939421892166138, Label: 1
Pair: (DRILL-1648, DRILL-1607), Cosine Score: 0.6930962204933167, Label: 1
Pair: (DRILL-1654, DRILL-970), Cosine Score: 0.8254715204238892, Label: 1
Pair: (DRILL-1676, DRILL-1587), Cosine Score: 0.7294960021972656, Label: 1
Pair: (DRILL-1681, DRILL-1072), Cosine Score: 0.8758246898651123, Label: 1
Pair: (DRILL-1685, DRILL-1586), Cosine Score: 0.7424488663673401, Label: 1
Pair: (DRILL-1693, DRILL-105), Cosine Score: 0.6360801458358765, Label: 1
Pair: (DRILL-1714, DRILL-1257), Cosine Score: 0.6969244480133057, Label: 1
Pair: (DRILL-1714, DRILL-1594), Cosine Score: 0.8047404289245605, Label: 1
Pair: (DRILL-1714, DRILL-1602), Cosine Score: 0.6685430407524109, Label: 1
Pair: (DRILL-1723, DRILL-1591), Cosine Score: 0.7562138438224792, Label: 1
Pair: (DRILL-1731, DRILL-1257), Cosine Score: 0.7195259928703308, Label: 1
Pair: (DRILL-1731, DRILL-1594), Cosine Score: 0.8280537724494934, Label: 1
Pair: (DRILL-1731, DRILL-1602), Cosine Score: 0.6844364404678345, Label: 1
Pair: (DRILL-1731, DRILL-1714), Cosine Score: 0.8749648928642273, Label: 1
Pair: (DRILL-1740, DRILL-1373), Cosine Score: 0.7497078776359558, Label: 1
Pair: (DRILL-1740, DRILL-1515), Cosine Score: 0.6322541236877441, Label: 1
Pair: (DRILL-1772, DRILL-1765), Cosine Score: 0.4879002869129181, Label: 1
Pair: (DRILL-1794, DRILL-1545), Cosine Score: 0.8747199773788452, Label: 1
Pair: (DRILL-1794, DRILL-1546), Cosine Score: 0.7342361211776733, Label: 1
Pair: (DRILL-1876, DRILL-779), Cosine Score: 0.8879666328430176, Label: 1
Pair: (DRILL-1877, DRILL-779), Cosine Score: 0.902736485004425, Label: 1
Pair: (DRILL-1877, DRILL-1876), Cosine Score: 0.9280449748039246, Label: 1
Pair: (DRILL-1889, DRILL-1778), Cosine Score: 0.8563711643218994, Label: 1
Pair: (DRILL-1903, DRILL-1784), Cosine Score: 0.5243567228317261, Label: 1
Pair: (DRILL-1919, DRILL-1918), Cosine Score: 0.9093184471130371, Label: 1
Pair: (DRILL-1937, DRILL-1936), Cosine Score: 0.8229736685752869, Label: 1
Pair: (DRILL-1941, DRILL-1302), Cosine Score: 0.9386411905288696, Label: 1
Pair: (DRILL-1944, DRILL-1829), Cosine Score: 0.8438544273376465, Label: 1
Pair: (DRILL-1960, DRILL-1829), Cosine Score: 0.7261903882026672, Label: 1
Pair: (DRILL-1960, DRILL-1944), Cosine Score: 0.6644708514213562, Label: 1
Pair: (DRILL-1978, DRILL-1302), Cosine Score: 0.8016082048416138, Label: 1
Pair: (DRILL-1978, DRILL-1941), Cosine Score: 0.7909293174743652, Label: 1
Pair: (DRILL-1995, DRILL-1859), Cosine Score: 0.6528918743133545, Label: 1
Pair: (DRILL-2008, DRILL-779), Cosine Score: 0.9008820652961731, Label: 1
Pair: (DRILL-2008, DRILL-1876), Cosine Score: 0.8621708154678345, Label: 1
Pair: (DRILL-2008, DRILL-1877), Cosine Score: 0.9109776616096497, Label: 1
Pair: (DRILL-2016, DRILL-1921), Cosine Score: 0.8056970238685608, Label: 1
Pair: (DRILL-2018, DRILL-1728), Cosine Score: 0.8881990313529968, Label: 1
Pair: (DRILL-2021, DRILL-1979), Cosine Score: 0.8121867179870605, Label: 1
Pair: (DRILL-2027, DRILL-1496), Cosine Score: 0.8495790958404541, Label: 1
Pair: (DRILL-2063, DRILL-1946), Cosine Score: 0.9189981818199158, Label: 1
Pair: (DRILL-2075, DRILL-1302), Cosine Score: 0.7450888156890869, Label: 1
Pair: (DRILL-2075, DRILL-1941), Cosine Score: 0.7712764143943787, Label: 1
Pair: (DRILL-2075, DRILL-1978), Cosine Score: 0.7964743375778198, Label: 1
Pair: (DRILL-2082, DRILL-1597), Cosine Score: 0.5918515920639038, Label: 1
Pair: (DRILL-2094, DRILL-1302), Cosine Score: 0.7942512631416321, Label: 1
Pair: (DRILL-2094, DRILL-1941), Cosine Score: 0.8350249528884888, Label: 1
Pair: (DRILL-2094, DRILL-1978), Cosine Score: 0.8306134939193726, Label: 1
Pair: (DRILL-2094, DRILL-2075), Cosine Score: 0.860389232635498, Label: 1
Pair: (DRILL-2102, DRILL-1373), Cosine Score: 0.7581785321235657, Label: 1
Pair: (DRILL-2102, DRILL-1515), Cosine Score: 0.5968304872512817, Label: 1
Pair: (DRILL-2102, DRILL-1740), Cosine Score: 0.9179852604866028, Label: 1
Pair: (DRILL-2115, DRILL-1921), Cosine Score: 0.849902331829071, Label: 1
Pair: (DRILL-2115, DRILL-2016), Cosine Score: 0.8512755632400513, Label: 1
Pair: (DRILL-2137, DRILL-2132), Cosine Score: 0.9136468172073364, Label: 1
Pair: (DRILL-2151, DRILL-1588), Cosine Score: 0.6785804033279419, Label: 1
Pair: (DRILL-2159, DRILL-1900), Cosine Score: 0.6588841080665588, Label: 1
Pair: (DRILL-2163, DRILL-2122), Cosine Score: 0.88893723487854, Label: 1
Pair: (DRILL-2176, DRILL-1302), Cosine Score: 0.7688894271850586, Label: 1
Pair: (DRILL-2176, DRILL-1941), Cosine Score: 0.7998777031898499, Label: 1
Pair: (DRILL-2176, DRILL-1978), Cosine Score: 0.8130670189857483, Label: 1
Pair: (DRILL-2176, DRILL-2075), Cosine Score: 0.7552796602249146, Label: 1
Pair: (DRILL-2176, DRILL-2094), Cosine Score: 0.8113456964492798, Label: 1
Pair: (DRILL-2179, DRILL-1938), Cosine Score: 0.7914495468139648, Label: 1
Pair: (DRILL-2186, DRILL-2180), Cosine Score: 0.8843315243721008, Label: 1
Pair: (DRILL-2211, DRILL-2178), Cosine Score: 0.766583263874054, Label: 1
Pair: (DRILL-2213, DRILL-2029), Cosine Score: 0.698540210723877, Label: 1
Pair: (DRILL-2243, DRILL-2220), Cosine Score: 0.7265673279762268, Label: 1
Pair: (DRILL-2249, DRILL-2220), Cosine Score: 0.788621187210083, Label: 1
Pair: (DRILL-2249, DRILL-2243), Cosine Score: 0.8661338686943054, Label: 1
Pair: (DRILL-2253, DRILL-2220), Cosine Score: 0.8065868616104126, Label: 1
Pair: (DRILL-2253, DRILL-2243), Cosine Score: 0.6643258333206177, Label: 1
Pair: (DRILL-2253, DRILL-2249), Cosine Score: 0.7326921224594116, Label: 1
Pair: (DRILL-2254, DRILL-1754), Cosine Score: 0.8090015649795532, Label: 1
Pair: (DRILL-2255, DRILL-2183), Cosine Score: 0.8570927381515503, Label: 1
Pair: (DRILL-2256, DRILL-2217), Cosine Score: 0.8298476934432983, Label: 1
Pair: (DRILL-2262, DRILL-2250), Cosine Score: 0.8952153921127319, Label: 1
Pair: (DRILL-2271, DRILL-2246), Cosine Score: 0.8798074722290039, Label: 1
Pair: (DRILL-2274, DRILL-2074), Cosine Score: 0.9181963801383972, Label: 1
Pair: (DRILL-2286, DRILL-2250), Cosine Score: 0.8535427451133728, Label: 1
Pair: (DRILL-2286, DRILL-2262), Cosine Score: 0.887819230556488, Label: 1
Pair: (DRILL-2291, DRILL-2241), Cosine Score: 0.8447871804237366, Label: 1
Pair: (DRILL-2298, DRILL-1911), Cosine Score: 0.7449376583099365, Label: 1
Pair: (DRILL-2300, DRILL-2220), Cosine Score: 0.7554243803024292, Label: 1
Pair: (DRILL-2300, DRILL-2243), Cosine Score: 0.8299887776374817, Label: 1
Pair: (DRILL-2300, DRILL-2249), Cosine Score: 0.8611902594566345, Label: 1
Pair: (DRILL-2300, DRILL-2253), Cosine Score: 0.7253261804580688, Label: 1
Pair: (DRILL-2318, DRILL-2301), Cosine Score: 0.7278996706008911, Label: 1
Pair: (DRILL-2334, DRILL-2322), Cosine Score: 0.8216162919998169, Label: 1
Pair: (DRILL-2338, DRILL-2220), Cosine Score: 0.7788248658180237, Label: 1
Pair: (DRILL-2338, DRILL-2243), Cosine Score: 0.9203726053237915, Label: 1
Pair: (DRILL-2338, DRILL-2249), Cosine Score: 0.8999434113502502, Label: 1
Pair: (DRILL-2338, DRILL-2253), Cosine Score: 0.7143672704696655, Label: 1
Pair: (DRILL-2338, DRILL-2300), Cosine Score: 0.841398298740387, Label: 1
Pair: (DRILL-2385, DRILL-1650), Cosine Score: 0.7475888729095459, Label: 1
