Pair: (GROOVY-20, GROOVY-19), Cosine Score: 0.8566045761108398, Label: 1
Pair: (GROOVY-211, GROOVY-131), Cosine Score: 0.6853219866752625, Label: 1
Pair: (GROOVY-211, GROOVY-192), Cosine Score: 0.6099910140037537, Label: 1
Pair: (GROOVY-214, GROOVY-131), Cosine Score: 0.6895766854286194, Label: 1
Pair: (GROOVY-214, GROOVY-192), Cosine Score: 0.614879310131073, Label: 1
Pair: (GROOVY-214, GROOVY-211), Cosine Score: 0.6221028566360474, Label: 1
Pair: (GROOVY-233, GROOVY-175), Cosine Score: 0.8869641423225403, Label: 1
Pair: (GROOVY-343, GROOVY-293), Cosine Score: 0.9089826941490173, Label: 1
Pair: (GROOVY-359, GROOVY-339), Cosine Score: 0.948848307132721, Label: 1
Pair: (GROOVY-362, GROOVY-247), Cosine Score: 0.7760071754455566, Label: 1
Pair: (GROOVY-404, GROOVY-366), Cosine Score: 0.9079335331916809, Label: 1
Pair: (GROOVY-405, GROOVY-387), Cosine Score: 0.9712353348731995, Label: 1
Pair: (GROOVY-410, GROOVY-309), Cosine Score: 0.9122479557991028, Label: 1
Pair: (GROOVY-420, GROOVY-353), Cosine Score: 0.982265293598175, Label: 1
Pair: (GROOVY-432, GROOVY-210), Cosine Score: 0.9724018573760986, Label: 1
Pair: (GROOVY-489, GROOVY-413), Cosine Score: 0.9687379598617554, Label: 1
Pair: (GROOVY-517, GROOVY-516), Cosine Score: 0.9813336133956909, Label: 1
Pair: (GROOVY-669, GROOVY-564), Cosine Score: 0.9214975237846375, Label: 1
Pair: (GROOVY-704, GROOVY-564), Cosine Score: 0.9217043519020081, Label: 1
Pair: (GROOVY-704, GROOVY-669), Cosine Score: 0.9354618191719055, Label: 1
Pair: (GROOVY-800, GROOVY-247), Cosine Score: 0.7925540804862976, Label: 1
Pair: (GROOVY-800, GROOVY-362), Cosine Score: 0.9305932521820068, Label: 1
Pair: (GROOVY-881, GROOVY-638), Cosine Score: 0.9662544131278992, Label: 1
Pair: (GROOVY-886, GROOVY-584), Cosine Score: 0.8704201579093933, Label: 1
Pair: (GROOVY-888, GROOVY-584), Cosine Score: 0.860107421875, Label: 1
Pair: (GROOVY-888, GROOVY-886), Cosine Score: 0.9517129063606262, Label: 1
Pair: (GROOVY-918, GROOVY-534), Cosine Score: 0.8281040191650391, Label: 1
