Pair: (HBASE-187, HBASE-141), Cosine Score: 0.9652457237243652, Label: 1
Pair: (HBASE-206, HBASE-209), Cosine Score: 0.9681786298751831, Label: 1
Pair: (HBASE-394, HBASE-392), Cosine Score: 0.9692320227622986, Label: 1
Pair: (HBASE-344, HBASE-288), Cosine Score: 0.9747758507728577, Label: 1
Pair: (HBASE-362, HBASE-288), Cosine Score: 0.9760153889656067, Label: 1
Pair: (HBASE-362, HBASE-344), Cosine Score: 0.976504385471344, Label: 1
Pair: (HBASE-589, HBASE-502), Cosine Score: 0.8476439118385315, Label: 1
Pair: (HBASE-1060, HBASE-616), Cosine Score: 0.9860039949417114, Label: 1
Pair: (HBASE-2280, HBASE-2063), Cosine Score: 0.9712393879890442, Label: 1
Pair: (HBASE-2627, HBASE-2616), Cosine Score: 0.9915114641189575, Label: 1
Pair: (HBASE-2942, HBASE-2666), Cosine Score: 0.9854657053947449, Label: 1
Pair: (HBASE-2984, HBASE-2960), Cosine Score: 0.9621236324310303, Label: 1
Pair: (HBASE-3379, HBASE-3285), Cosine Score: 0.9752838611602783, Label: 1
Pair: (HBASE-3483, HBASE-2158), Cosine Score: 0.9655486941337585, Label: 1
Pair: (HBASE-3604, HBASE-2231), Cosine Score: 0.9439913630485535, Label: 1
Pair: (HBASE-3636, HBASE-3007), Cosine Score: 0.9665955901145935, Label: 1
Pair: (HBASE-3796, HBASE-3051), Cosine Score: 0.9398300051689148, Label: 1
Pair: (HBASE-3920, HBASE-3885), Cosine Score: 0.9841600656509399, Label: 1
Pair: (HBASE-3939, HBASE-1913), Cosine Score: 0.954053521156311, Label: 1
Pair: (HBASE-4834, HBASE-3497), Cosine Score: 0.9730117917060852, Label: 1
Pair: (HBASE-5054, HBASE-4854), Cosine Score: 0.9858801364898682, Label: 1
Pair: (HBASE-5062, HBASE-4099), Cosine Score: 0.9005093574523926, Label: 1
Pair: (HBASE-5062, HBASE-4100), Cosine Score: 0.8968556523323059, Label: 1
Pair: (HBASE-5759, HBASE-5725), Cosine Score: 0.9808109402656555, Label: 1
Pair: (HBASE-5834, HBASE-4931), Cosine Score: 0.9684518575668335, Label: 1
Pair: (HBASE-5968, HBASE-1299), Cosine Score: 0.9644178748130798, Label: 1
Pair: (HBASE-6151, HBASE-4470), Cosine Score: 0.9931085109710693, Label: 1
Pair: (HBASE-6196, HBASE-5876), Cosine Score: 0.9836965203285217, Label: 1
Pair: (HBASE-6263, HBASE-6166), Cosine Score: 0.9581189155578613, Label: 1
Pair: (HBASE-6529, HBASE-5640), Cosine Score: 0.9631516933441162, Label: 1
Pair: (HBASE-6534, HBASE-6533), Cosine Score: 0.9997864961624146, Label: 1
Pair: (HBASE-6535, HBASE-6533), Cosine Score: 0.990029513835907, Label: 1
Pair: (HBASE-6535, HBASE-6534), Cosine Score: 0.9902564883232117, Label: 1
Pair: (HBASE-6536, HBASE-6533), Cosine Score: 0.990029513835907, Label: 1
Pair: (HBASE-6536, HBASE-6534), Cosine Score: 0.9902564883232117, Label: 1
Pair: (HBASE-6536, HBASE-6535), Cosine Score: 1, Label: 1
Pair: (HBASE-6537, HBASE-3152), Cosine Score: 0.9780541658401489, Label: 1
Pair: (HBASE-6565, HBASE-6280), Cosine Score: 0.9678600430488586, Label: 1
Pair: (HBASE-6707, HBASE-6690), Cosine Score: 0.996951162815094, Label: 1
Pair: (HBASE-6762, HBASE-6761), Cosine Score: 0.9791795611381531, Label: 1
Pair: (HBASE-6924, HBASE-4458), Cosine Score: 0.9671534895896912, Label: 1
Pair: (HBASE-7122, HBASE-6446), Cosine Score: 0.9723712801933289, Label: 1
Pair: (HBASE-7476, HBASE-6262), Cosine Score: 0.9649658799171448, Label: 1
Pair: (HBASE-7489, HBASE-7473), Cosine Score: 0.9676839113235474, Label: 1
Pair: (HBASE-7507, HBASE-7385), Cosine Score: 0.9818890690803528, Label: 1
Pair: (HBASE-7581, HBASE-7580), Cosine Score: 0.9256139993667603, Label: 1
Pair: (HBASE-7724, HBASE-6060), Cosine Score: 0.9765068292617798, Label: 1
Pair: (HBASE-7774, HBASE-6265), Cosine Score: 0.9526863694190979, Label: 1
Pair: (HBASE-7896, HBASE-643), Cosine Score: 0.93510901927948, Label: 1
Pair: (HBASE-7906, HBASE-7859), Cosine Score: 0.9815689325332642, Label: 1
Pair: (HBASE-8136, HBASE-5492), Cosine Score: 0.966202974319458, Label: 1
Pair: (HBASE-8136, HBASE-6870), Cosine Score: 0.9685612916946411, Label: 1
