Pair: (MNG-341, MNG-105), Cosine Score: 0.9236359596252441, Label: 1
Pair: (MNG-489, MNG-355), Cosine Score: 0.6999648213386536, Label: 1
Pair: (MNG-531, MNG-530), Cosine Score: 0.8744910359382629, Label: 1
Pair: (MNG-572, MNG-539), Cosine Score: 0.7660652995109558, Label: 1
Pair: (MNG-573, MNG-558), Cosine Score: 0.9658629298210144, Label: 1
Pair: (MNG-650, MNG-645), Cosine Score: 0.7330141067504883, Label: 1
Pair: (MNG-761, MNG-734), Cosine Score: 0.760623037815094, Label: 1
Pair: (MNG-769, MNG-760), Cosine Score: 0.753710150718689, Label: 1
Pair: (MNG-780, MNG-734), Cosine Score: 0.8290262222290039, Label: 1
Pair: (MNG-780, MNG-761), Cosine Score: 0.7316856384277344, Label: 1
Pair: (MNG-893, MNG-885), Cosine Score: 0.8682724833488464, Label: 1
Pair: (MNG-1036, MNG-951), Cosine Score: 0.6052452921867371, Label: 1
Pair: (MNG-1208, MNG-1142), Cosine Score: 0.8120102882385254, Label: 1
Pair: (MNG-1235, MNG-1220), Cosine Score: 0.9033523201942444, Label: 1
Pair: (MNG-1318, MNG-1273), Cosine Score: 0.886451005935669, Label: 1
Pair: (MNG-1339, MNG-1337), Cosine Score: 0.6337529420852661, Label: 1
Pair: (MNG-1354, MNG-1220), Cosine Score: 0.8881459832191467, Label: 1
Pair: (MNG-1354, MNG-1235), Cosine Score: 0.9229735732078552, Label: 1
Pair: (MNG-1414, MNG-1232), Cosine Score: 0.8860758543014526, Label: 1
Pair: (MNG-1414, MNG-1351), Cosine Score: 0.8919354677200317, Label: 1
Pair: (MNG-1571, MNG-1568), Cosine Score: 0.8433046340942383, Label: 1
Pair: (MNG-1742, MNG-1741), Cosine Score: 0.9850699305534363, Label: 1
Pair: (MNG-1906, MNG-1486), Cosine Score: 0.7785240411758423, Label: 1
Pair: (MNG-1797, MNG-1557), Cosine Score: 0.7142008543014526, Label: 1
Pair: (MNG-1823, MNG-1568), Cosine Score: 0.8231041431427002, Label: 1
Pair: (MNG-1823, MNG-1571), Cosine Score: 0.7855695486068726, Label: 1
Pair: (MNG-1836, MNG-1323), Cosine Score: 0.8786336779594421, Label: 1
Pair: (MNG-1883, MNG-870), Cosine Score: 0.6314730048179626, Label: 1
Pair: (MNG-1893, MNG-1875), Cosine Score: 0.83380526304245, Label: 1
Pair: (MNG-1895, MNG-1568), Cosine Score: 0.7543128728866577, Label: 1
Pair: (MNG-1895, MNG-1571), Cosine Score: 0.7618416547775269, Label: 1
Pair: (MNG-1895, MNG-1823), Cosine Score: 0.6586469411849976, Label: 1
Pair: (MNG-1896, MNG-1703), Cosine Score: 0.8338534832000732, Label: 1
Pair: (MNG-1919, MNG-1908), Cosine Score: 0.7518693804740906, Label: 1
Pair: (MNG-1921, MNG-1378), Cosine Score: 0.8971512913703918, Label: 1
Pair: (MNG-1949, MNG-1323), Cosine Score: 0.7220006585121155, Label: 1
Pair: (MNG-1949, MNG-1836), Cosine Score: 0.7331607341766357, Label: 1
Pair: (MNG-1956, MNG-1955), Cosine Score: 0.8827311992645264, Label: 1
Pair: (MNG-1967, MNG-1958), Cosine Score: 0.5422033071517944, Label: 1
Pair: (MNG-1975, MNG-1245), Cosine Score: 0.8425923585891724, Label: 1
Pair: (MNG-2008, MNG-1645), Cosine Score: 0.9390196204185486, Label: 1
Pair: (MNG-2020, MNG-1686), Cosine Score: 0.8709691762924194, Label: 1
Pair: (MNG-2032, MNG-1557), Cosine Score: 0.7787449359893799, Label: 1
Pair: (MNG-2032, MNG-1797), Cosine Score: 0.7207373976707458, Label: 1
Pair: (MNG-2049, MNG-1925), Cosine Score: 0.8914105892181396, Label: 1
Pair: (MNG-2057, MNG-2025), Cosine Score: 0.9027286171913147, Label: 1
Pair: (MNG-2091, MNG-1445), Cosine Score: 0.8359211087226868, Label: 1
Pair: (MNG-2127, MNG-1337), Cosine Score: 0.6533234119415283, Label: 1
Pair: (MNG-2127, MNG-1339), Cosine Score: 0.6328526735305786, Label: 1
Pair: (MNG-2131, MNG-1658), Cosine Score: 0.9653714299201965, Label: 1
Pair: (MNG-2134, MNG-1337), Cosine Score: 0.7337966561317444, Label: 1
Pair: (MNG-2134, MNG-1339), Cosine Score: 0.6958959102630615, Label: 1
Pair: (MNG-2134, MNG-2127), Cosine Score: 0.6990185379981995, Label: 1
Pair: (MNG-2134, MNG-2132), Cosine Score: 0.6781201958656311, Label: 1
Pair: (MNG-2135, MNG-870), Cosine Score: 0.6875113248825073, Label: 1
Pair: (MNG-2135, MNG-1883), Cosine Score: 0.5518555641174316, Label: 1
Pair: (MNG-2174, MNG-1323), Cosine Score: 0.6801409721374512, Label: 1
Pair: (MNG-2174, MNG-1836), Cosine Score: 0.7179746031761169, Label: 1
Pair: (MNG-2174, MNG-1949), Cosine Score: 0.6877467036247253, Label: 1
Pair: (MNG-2176, MNG-942), Cosine Score: 0.7356756925582886, Label: 1
Pair: (MNG-2179, MNG-1337), Cosine Score: 0.7054866552352905, Label: 1
Pair: (MNG-2179, MNG-1339), Cosine Score: 0.7353100776672363, Label: 1
Pair: (MNG-2179, MNG-2127), Cosine Score: 0.7546865940093994, Label: 1
Pair: (MNG-2179, MNG-2132), Cosine Score: 0.7434264421463013, Label: 1
Pair: (MNG-2179, MNG-2134), Cosine Score: 0.8707559108734131, Label: 1
Pair: (MNG-2185, MNG-2160), Cosine Score: 0.9497550129890442, Label: 1
Pair: (MNG-2190, MNG-1415), Cosine Score: 0.895754873752594, Label: 1
Pair: (MNG-2205, MNG-1978), Cosine Score: 0.7879143953323364, Label: 1
Pair: (MNG-2223, MNG-1995), Cosine Score: 0.9262560606002808, Label: 1
Pair: (MNG-2227, MNG-2195), Cosine Score: 0.8298172354698181, Label: 1
Pair: (MNG-2236, MNG-1928), Cosine Score: 0.8131878972053528, Label: 1
Pair: (MNG-2237, MNG-2221), Cosine Score: 0.763376772403717, Label: 1
Pair: (MNG-2239, MNG-1445), Cosine Score: 0.8696991801261902, Label: 1
Pair: (MNG-2239, MNG-2091), Cosine Score: 0.8155573606491089, Label: 1
Pair: (MNG-2240, MNG-1682), Cosine Score: 0.7319446206092834, Label: 1
Pair: (MNG-2254, MNG-2025), Cosine Score: 0.8926638960838318, Label: 1
Pair: (MNG-2254, MNG-2057), Cosine Score: 0.9187880754470825, Label: 1
Pair: (MNG-3099, MNG-1928), Cosine Score: 0.8271271586418152, Label: 1
Pair: (MNG-3099, MNG-2236), Cosine Score: 0.7973110675811768, Label: 1
Pair: (MNG-2971, MNG-624), Cosine Score: 0.7081186771392822, Label: 1
Pair: (MNG-2282, MNG-1925), Cosine Score: 0.8227036595344543, Label: 1
Pair: (MNG-2282, MNG-2049), Cosine Score: 0.9014837145805359, Label: 1
Pair: (MNG-2289, MNG-1908), Cosine Score: 0.8385654091835022, Label: 1
Pair: (MNG-2289, MNG-1919), Cosine Score: 0.7243953347206116, Label: 1
Pair: (MNG-2297, MNG-2221), Cosine Score: 0.7240949869155884, Label: 1
Pair: (MNG-2297, MNG-2237), Cosine Score: 0.8228946328163147, Label: 1
Pair: (MNG-2308, MNG-2068), Cosine Score: 0.8691198825836182, Label: 1
Pair: (MNG-2326, MNG-1557), Cosine Score: 0.7911778688430786, Label: 1
Pair: (MNG-2326, MNG-1797), Cosine Score: 0.7078061699867249, Label: 1
Pair: (MNG-2326, MNG-2032), Cosine Score: 0.8299925327301025, Label: 1
Pair: (MNG-2339, MNG-2653), Cosine Score: 0.8178227543830872, Label: 1
Pair: (MNG-2354, MNG-1557), Cosine Score: 0.7936466932296753, Label: 1
Pair: (MNG-2354, MNG-1797), Cosine Score: 0.7364556789398193, Label: 1
Pair: (MNG-2354, MNG-2032), Cosine Score: 0.8947357535362244, Label: 1
Pair: (MNG-2354, MNG-2326), Cosine Score: 0.8380934596061707, Label: 1
Pair: (MNG-2363, MNG-1775), Cosine Score: 0.8434479236602783, Label: 1
Pair: (MNG-2368, MNG-1712), Cosine Score: 0.7906339168548584, Label: 1
Pair: (MNG-2420, MNG-1557), Cosine Score: 0.807163655757904, Label: 1
Pair: (MNG-2420, MNG-1797), Cosine Score: 0.6730222105979919, Label: 1
