Pair: (MYFACES-149, MYFACES-130), Cosine Score: 0.9810473918914795, Label: 1
Pair: (MYFACES-336, MYFACES-308), Cosine Score: 0.8825684189796448, Label: 1
Pair: (MYFACES-349, MYFACES-308), Cosine Score: 0.6956831812858582, Label: 1
Pair: (MYFACES-349, MYFACES-336), Cosine Score: 0.7577781081199646, Label: 1
Pair: (MYFACES-355, MYFACES-308), Cosine Score: 0.8530665040016174, Label: 1
Pair: (MYFACES-355, MYFACES-336), Cosine Score: 0.8774347305297852, Label: 1
Pair: (MYFACES-355, MYFACES-349), Cosine Score: 0.7346327304840088, Label: 1
Pair: (MYFACES-357, MYFACES-308), Cosine Score: 0.864601731300354, Label: 1
Pair: (MYFACES-357, MYFACES-336), Cosine Score: 0.8314089775085449, Label: 1
Pair: (MYFACES-357, MYFACES-349), Cosine Score: 0.6597276926040649, Label: 1
Pair: (MYFACES-357, MYFACES-355), Cosine Score: 0.8273721933364868, Label: 1
Pair: (MYFACES-363, MYFACES-362), Cosine Score: 0.9842692017555237, Label: 1
Pair: (MYFACES-424, MYFACES-388), Cosine Score: 0.8536058068275452, Label: 1
Pair: (MYFACES-513, MYFACES-486), Cosine Score: 0.593056321144104, Label: 1
Pair: (MYFACES-524, MYFACES-440), Cosine Score: 0.8776315450668335, Label: 1
Pair: (MYFACES-527, MYFACES-152), Cosine Score: 0.727773129940033, Label: 1
Pair: (MYFACES-597, MYFACES-570), Cosine Score: 0.8003728985786438, Label: 1
Pair: (MYFACES-608, MYFACES-579), Cosine Score: 0.9568468928337097, Label: 1
Pair: (MYFACES-669, MYFACES-154), Cosine Score: 0.7661209106445312, Label: 1
Pair: (MYFACES-680, MYFACES-592), Cosine Score: 0.8868926763534546, Label: 1
Pair: (MYFACES-747, MYFACES-746), Cosine Score: 1, Label: 1
Pair: (MYFACES-852, MYFACES-154), Cosine Score: 0.7472289204597473, Label: 1
Pair: (MYFACES-852, MYFACES-669), Cosine Score: 0.7958483695983887, Label: 1
Pair: (MYFACES-1104, MYFACES-1010), Cosine Score: 0.7583258748054504, Label: 1
Pair: (MYFACES-1125, MYFACES-1121), Cosine Score: 0.8722991347312927, Label: 1
Pair: (MYFACES-1151, MYFACES-1121), Cosine Score: 0.9703030586242676, Label: 1
Pair: (MYFACES-1151, MYFACES-1125), Cosine Score: 0.8974695205688477, Label: 1
Pair: (MYFACES-1362, MYFACES-1324), Cosine Score: 0.6109966039657593, Label: 1
Pair: (MYFACES-1414, MYFACES-1324), Cosine Score: 0.6218714714050293, Label: 1
Pair: (MYFACES-1414, MYFACES-1362), Cosine Score: 0.9210046529769897, Label: 1
Pair: (MYFACES-1650, MYFACES-1643), Cosine Score: 0.9118164777755737, Label: 1
Pair: (MYFACES-1653, MYFACES-1633), Cosine Score: 0.6787351369857788, Label: 1
Pair: (MYFACES-1660, MYFACES-1658), Cosine Score: 0.9088694453239441, Label: 1
Pair: (MYFACES-1705, MYFACES-1678), Cosine Score: 0.9167161583900452, Label: 1
