Pair: (PDFBOX-77, PDFBOX-61), Cosine Score: 0.9405890703201294, Label: 1
Pair: (PDFBOX-205, PDFBOX-185), Cosine Score: 0.9026417136192322, Label: 1
Pair: (PDFBOX-222, PDFBOX-137), Cosine Score: 0.932359516620636, Label: 1
Pair: (PDFBOX-227, PDFBOX-211), Cosine Score: 0.9681346416473389, Label: 1
Pair: (PDFBOX-292, PDFBOX-291), Cosine Score: 0.9998749494552612, Label: 1
Pair: (PDFBOX-312, PDFBOX-311), Cosine Score: 0.9997753500938416, Label: 1
Pair: (PDFBOX-325, PDFBOX-163), Cosine Score: 0.9095370769500732, Label: 1
Pair: (PDFBOX-347, PDFBOX-61), Cosine Score: 0.8998235464096069, Label: 1
Pair: (PDFBOX-347, PDFBOX-77), Cosine Score: 0.8997129201889038, Label: 1
Pair: (PDFBOX-349, PDFBOX-61), Cosine Score: 0.9495781064033508, Label: 1
Pair: (PDFBOX-349, PDFBOX-77), Cosine Score: 0.9448958039283752, Label: 1
Pair: (PDFBOX-349, PDFBOX-347), Cosine Score: 0.88436359167099, Label: 1
Pair: (PDFBOX-438, PDFBOX-424), Cosine Score: 0.91469806432724, Label: 1
Pair: (PDFBOX-506, PDFBOX-311), Cosine Score: 0.9677675366401672, Label: 1
Pair: (PDFBOX-506, PDFBOX-312), Cosine Score: 0.968937337398529, Label: 1
Pair: (PDFBOX-509, PDFBOX-420), Cosine Score: 0.9574059844017029, Label: 1
Pair: (PDFBOX-575, PDFBOX-519), Cosine Score: 0.990537166595459, Label: 1
Pair: (PDFBOX-686, PDFBOX-667), Cosine Score: 0.9411298036575317, Label: 1
Pair: (PDFBOX-709, PDFBOX-681), Cosine Score: 0.9486061930656433, Label: 1
Pair: (PDFBOX-724, PDFBOX-563), Cosine Score: 0.9820924401283264, Label: 1
Pair: (PDFBOX-852, PDFBOX-782), Cosine Score: 0.9119067192077637, Label: 1
Pair: (PDFBOX-858, PDFBOX-814), Cosine Score: 0.9266051054000854, Label: 1
Pair: (PDFBOX-872, PDFBOX-697), Cosine Score: 0.9761889576911926, Label: 1
Pair: (PDFBOX-924, PDFBOX-490), Cosine Score: 0.9018948674201965, Label: 1
Pair: (PDFBOX-931, PDFBOX-768), Cosine Score: 0.85947585105896, Label: 1
Pair: (PDFBOX-931, PDFBOX-794), Cosine Score: 0.9659743905067444, Label: 1
Pair: (PDFBOX-933, PDFBOX-811), Cosine Score: 0.9243465065956116, Label: 1
Pair: (PDFBOX-945, PDFBOX-121), Cosine Score: 0.8922733068466187, Label: 1
Pair: (PDFBOX-977, PDFBOX-145), Cosine Score: 0.9714264273643494, Label: 1
Pair: (PDFBOX-978, PDFBOX-818), Cosine Score: 0.9381418228149414, Label: 1
Pair: (PDFBOX-984, PDFBOX-490), Cosine Score: 0.9093618988990784, Label: 1
Pair: (PDFBOX-984, PDFBOX-924), Cosine Score: 0.9325998425483704, Label: 1
Pair: (PDFBOX-986, PDFBOX-976), Cosine Score: 0.9836432337760925, Label: 1
Pair: (PDFBOX-1019, PDFBOX-490), Cosine Score: 0.8379856944084167, Label: 1
Pair: (PDFBOX-1019, PDFBOX-924), Cosine Score: 0.9356616735458374, Label: 1
Pair: (PDFBOX-1019, PDFBOX-984), Cosine Score: 0.8887457251548767, Label: 1
Pair: (PDFBOX-1022, PDFBOX-767), Cosine Score: 0.951076328754425, Label: 1
Pair: (PDFBOX-1042, PDFBOX-1016), Cosine Score: 0.9344230890274048, Label: 1
Pair: (PDFBOX-1068, PDFBOX-490), Cosine Score: 0.8255778551101685, Label: 1
Pair: (PDFBOX-1068, PDFBOX-924), Cosine Score: 0.8011319041252136, Label: 1
Pair: (PDFBOX-1068, PDFBOX-984), Cosine Score: 0.8142045736312866, Label: 1
Pair: (PDFBOX-1068, PDFBOX-1019), Cosine Score: 0.7647942900657654, Label: 1
Pair: (PDFBOX-1071, PDFBOX-212), Cosine Score: 0.8893560171127319, Label: 1
Pair: (PDFBOX-1071, PDFBOX-553), Cosine Score: 0.9169028997421265, Label: 1
Pair: (PDFBOX-1071, PDFBOX-922), Cosine Score: 0.9478263854980469, Label: 1
Pair: (PDFBOX-1077, PDFBOX-744), Cosine Score: 0.9108214974403381, Label: 1
Pair: (PDFBOX-1082, PDFBOX-744), Cosine Score: 0.9582544565200806, Label: 1
Pair: (PDFBOX-1082, PDFBOX-1077), Cosine Score: 0.8451406955718994, Label: 1
Pair: (PDFBOX-1106, PDFBOX-1098), Cosine Score: 0.8079584240913391, Label: 1
Pair: (PDFBOX-1147, PDFBOX-185), Cosine Score: 0.934056282043457, Label: 1
Pair: (PDFBOX-1147, PDFBOX-205), Cosine Score: 0.9111167788505554, Label: 1
Pair: (PDFBOX-1189, PDFBOX-1145), Cosine Score: 0.9838250875473022, Label: 1
Pair: (PDFBOX-1192, PDFBOX-62), Cosine Score: 0.8800500631332397, Label: 1
Pair: (PDFBOX-1203, PDFBOX-1197), Cosine Score: 0.9647580981254578, Label: 1
Pair: (PDFBOX-1225, PDFBOX-1196), Cosine Score: 0.8698848485946655, Label: 1
Pair: (PDFBOX-1247, PDFBOX-1067), Cosine Score: 0.8431481719017029, Label: 1
Pair: (PDFBOX-1296, PDFBOX-490), Cosine Score: 0.8901211619377136, Label: 1
Pair: (PDFBOX-1296, PDFBOX-924), Cosine Score: 0.9541314244270325, Label: 1
Pair: (PDFBOX-1296, PDFBOX-984), Cosine Score: 0.9276142120361328, Label: 1
Pair: (PDFBOX-1296, PDFBOX-1019), Cosine Score: 0.9382750391960144, Label: 1
Pair: (PDFBOX-1296, PDFBOX-1068), Cosine Score: 0.7957314252853394, Label: 1
Pair: (PDFBOX-1342, PDFBOX-1120), Cosine Score: 0.9441508054733276, Label: 1
Pair: (PDFBOX-1357, PDFBOX-371), Cosine Score: 0.8853130340576172, Label: 1
Pair: (PDFBOX-1370, PDFBOX-1314), Cosine Score: 0.8244890570640564, Label: 1
Pair: (PDFBOX-1426, PDFBOX-1414), Cosine Score: 0.7988804578781128, Label: 1
Pair: (PDFBOX-1436, PDFBOX-490), Cosine Score: 0.9373623132705688, Label: 1
Pair: (PDFBOX-1436, PDFBOX-924), Cosine Score: 0.9357683658599854, Label: 1
Pair: (PDFBOX-1436, PDFBOX-984), Cosine Score: 0.9036015868186951, Label: 1
Pair: (PDFBOX-1436, PDFBOX-1019), Cosine Score: 0.89312344789505, Label: 1
Pair: (PDFBOX-1436, PDFBOX-1068), Cosine Score: 0.8555242419242859, Label: 1
Pair: (PDFBOX-1436, PDFBOX-1296), Cosine Score: 0.9350112676620483, Label: 1
Pair: (PDFBOX-1466, PDFBOX-539), Cosine Score: 0.954518735408783, Label: 1
Pair: (PDFBOX-1466, PDFBOX-1094), Cosine Score: 0.9504884481430054, Label: 1
Pair: (PDFBOX-1466, PDFBOX-1280), Cosine Score: 0.9188346266746521, Label: 1
Pair: (PDFBOX-1481, PDFBOX-1084), Cosine Score: 0.8566137552261353, Label: 1
Pair: (PDFBOX-1485, PDFBOX-1478), Cosine Score: 0.9211630821228027, Label: 1
Pair: (PDFBOX-1498, PDFBOX-1490), Cosine Score: 0.9530008435249329, Label: 1
Pair: (PDFBOX-1506, PDFBOX-833), Cosine Score: 0.8025760054588318, Label: 1
Pair: (PDFBOX-1516, PDFBOX-1490), Cosine Score: 0.9457217454910278, Label: 1
Pair: (PDFBOX-1516, PDFBOX-1498), Cosine Score: 0.9415341019630432, Label: 1
Pair: (PDFBOX-1520, PDFBOX-490), Cosine Score: 0.9297244548797607, Label: 1
Pair: (PDFBOX-1520, PDFBOX-924), Cosine Score: 0.9114717841148376, Label: 1
Pair: (PDFBOX-1520, PDFBOX-984), Cosine Score: 0.8803560733795166, Label: 1
Pair: (PDFBOX-1520, PDFBOX-1019), Cosine Score: 0.8753470778465271, Label: 1
Pair: (PDFBOX-1520, PDFBOX-1068), Cosine Score: 0.8480541110038757, Label: 1
Pair: (PDFBOX-1520, PDFBOX-1296), Cosine Score: 0.9263967871665955, Label: 1
Pair: (PDFBOX-1520, PDFBOX-1436), Cosine Score: 0.9830014109611511, Label: 1
Pair: (PDFBOX-1567, PDFBOX-954), Cosine Score: 0.949055552482605, Label: 1
Pair: (PDFBOX-1569, PDFBOX-212), Cosine Score: 0.8909471035003662, Label: 1
Pair: (PDFBOX-1569, PDFBOX-553), Cosine Score: 0.8966545462608337, Label: 1
Pair: (PDFBOX-1569, PDFBOX-922), Cosine Score: 0.9287542104721069, Label: 1
Pair: (PDFBOX-1569, PDFBOX-1071), Cosine Score: 0.9628704786300659, Label: 1
Pair: (PDFBOX-1593, PDFBOX-953), Cosine Score: 0.9746187925338745, Label: 1
Pair: (PDFBOX-1635, PDFBOX-1625), Cosine Score: 0.9527039527893066, Label: 1
Pair: (PDFBOX-1668, PDFBOX-1585), Cosine Score: 0.927166759967804, Label: 1
Pair: (PDFBOX-1686, PDFBOX-371), Cosine Score: 0.6687544584274292, Label: 1
Pair: (PDFBOX-1686, PDFBOX-1357), Cosine Score: 0.6498275399208069, Label: 1
Pair: (PDFBOX-1697, PDFBOX-1562), Cosine Score: 0.6371119618415833, Label: 1
Pair: (PDFBOX-1697, PDFBOX-1577), Cosine Score: 0.6962276697158813, Label: 1
Pair: (PDFBOX-1699, PDFBOX-490), Cosine Score: 0.8716396689414978, Label: 1
Pair: (PDFBOX-1699, PDFBOX-924), Cosine Score: 0.9317946434020996, Label: 1
Pair: (PDFBOX-1699, PDFBOX-984), Cosine Score: 0.9265768527984619, Label: 1
Pair: (PDFBOX-1699, PDFBOX-1019), Cosine Score: 0.907551646232605, Label: 1
Pair: (PDFBOX-1699, PDFBOX-1068), Cosine Score: 0.8044782280921936, Label: 1
Pair: (PDFBOX-1699, PDFBOX-1296), Cosine Score: 0.9136894941329956, Label: 1
Pair: (PDFBOX-1699, PDFBOX-1436), Cosine Score: 0.885924220085144, Label: 1
Pair: (PDFBOX-1699, PDFBOX-1520), Cosine Score: 0.8604924082756042, Label: 1
Pair: (PDFBOX-1700, PDFBOX-1664), Cosine Score: 0.9637304544448853, Label: 1
Pair: (PDFBOX-1705, PDFBOX-212), Cosine Score: 0.889353334903717, Label: 1
Pair: (PDFBOX-1705, PDFBOX-553), Cosine Score: 0.9270966649055481, Label: 1
Pair: (PDFBOX-1705, PDFBOX-922), Cosine Score: 0.9382162094116211, Label: 1
Pair: (PDFBOX-1705, PDFBOX-1071), Cosine Score: 0.9794883131980896, Label: 1
Pair: (PDFBOX-1705, PDFBOX-1569), Cosine Score: 0.9493557810783386, Label: 1
Pair: (PDFBOX-1713, PDFBOX-371), Cosine Score: 0.7930884957313538, Label: 1
Pair: (PDFBOX-1713, PDFBOX-1357), Cosine Score: 0.7884242534637451, Label: 1
Pair: (PDFBOX-1713, PDFBOX-1686), Cosine Score: 0.8526490330696106, Label: 1
Pair: (PDFBOX-1717, PDFBOX-490), Cosine Score: 0.8843650817871094, Label: 1
Pair: (PDFBOX-1717, PDFBOX-924), Cosine Score: 0.9484269022941589, Label: 1
Pair: (PDFBOX-1717, PDFBOX-984), Cosine Score: 0.9249322414398193, Label: 1
Pair: (PDFBOX-1717, PDFBOX-1019), Cosine Score: 0.9027054309844971, Label: 1
Pair: (PDFBOX-1717, PDFBOX-1068), Cosine Score: 0.8339850306510925, Label: 1
Pair: (PDFBOX-1717, PDFBOX-1296), Cosine Score: 0.9192305207252502, Label: 1
Pair: (PDFBOX-1717, PDFBOX-1436), Cosine Score: 0.926573634147644, Label: 1
