Pair: (WICKET-85, WICKET-83), Cosine Score: 0.7440885305404663, Label: 1
Pair: (WICKET-175, WICKET-84), Cosine Score: 0.8684774041175842, Label: 1
Pair: (WICKET-223, WICKET-88), Cosine Score: 0.8827549815177917, Label: 1
Pair: (WICKET-387, WICKET-376), Cosine Score: 0.9306944012641907, Label: 1
Pair: (WICKET-432, WICKET-332), Cosine Score: 0.5965943932533264, Label: 1
Pair: (WICKET-526, WICKET-497), Cosine Score: 0.7846417427062988, Label: 1
Pair: (WICKET-550, WICKET-517), Cosine Score: 0.663699746131897, Label: 1
Pair: (WICKET-571, WICKET-524), Cosine Score: 0.8871825933456421, Label: 1
Pair: (WICKET-723, WICKET-700), Cosine Score: 0.8738301992416382, Label: 1
Pair: (WICKET-764, WICKET-748), Cosine Score: 0.8311869502067566, Label: 1
Pair: (WICKET-793, WICKET-447), Cosine Score: 0.7960108518600464, Label: 1
Pair: (WICKET-862, WICKET-555), Cosine Score: 0.9312691688537598, Label: 1
Pair: (WICKET-888, WICKET-887), Cosine Score: 0.7079892754554749, Label: 1
Pair: (WICKET-895, WICKET-520), Cosine Score: 0.7041111588478088, Label: 1
Pair: (WICKET-1039, WICKET-1022), Cosine Score: 0.8800480365753174, Label: 1
Pair: (WICKET-1194, WICKET-812), Cosine Score: 0.8615058064460754, Label: 1
Pair: (WICKET-1241, WICKET-1224), Cosine Score: 0.7876896858215332, Label: 1
Pair: (WICKET-1253, WICKET-1239), Cosine Score: 0.9217413663864136, Label: 1
Pair: (WICKET-1271, WICKET-1258), Cosine Score: 0.8637554049491882, Label: 1
Pair: (WICKET-1352, WICKET-1205), Cosine Score: 0.663831353187561, Label: 1
Pair: (WICKET-1466, WICKET-861), Cosine Score: 0.940233051776886, Label: 1
Pair: (WICKET-1663, WICKET-1624), Cosine Score: 0.8101609349250793, Label: 1
Pair: (WICKET-1729, WICKET-1697), Cosine Score: 0.9257044196128845, Label: 1
Pair: (WICKET-1775, WICKET-1774), Cosine Score: 0.8270902633666992, Label: 1
Pair: (WICKET-1855, WICKET-1650), Cosine Score: 0.8070617318153381, Label: 1
Pair: (WICKET-1872, WICKET-1483), Cosine Score: 0.9029417037963867, Label: 1
Pair: (WICKET-1889, WICKET-1835), Cosine Score: 0.7435896992683411, Label: 1
Pair: (WICKET-1943, WICKET-1504), Cosine Score: 0.8643808960914612, Label: 1
Pair: (WICKET-1976, WICKET-1513), Cosine Score: 0.971935510635376, Label: 1
Pair: (WICKET-2046, WICKET-1403), Cosine Score: 0.8725498914718628, Label: 1
Pair: (WICKET-2055, WICKET-2032), Cosine Score: 0.9401313066482544, Label: 1
Pair: (WICKET-2106, WICKET-2093), Cosine Score: 0.8606257438659668, Label: 1
Pair: (WICKET-2376, WICKET-2369), Cosine Score: 0.7687942981719971, Label: 1
Pair: (WICKET-2402, WICKET-2369), Cosine Score: 0.783345103263855, Label: 1
Pair: (WICKET-2402, WICKET-2376), Cosine Score: 0.8505645990371704, Label: 1
Pair: (WICKET-2422, WICKET-2369), Cosine Score: 0.646379828453064, Label: 1
Pair: (WICKET-2422, WICKET-2376), Cosine Score: 0.8132343888282776, Label: 1
Pair: (WICKET-2422, WICKET-2402), Cosine Score: 0.7885645031929016, Label: 1
Pair: (WICKET-2427, WICKET-2375), Cosine Score: 0.8742409944534302, Label: 1
Pair: (WICKET-2501, WICKET-2500), Cosine Score: 1, Label: 1
Pair: (WICKET-2519, WICKET-2506), Cosine Score: 0.9585790634155273, Label: 1
Pair: (WICKET-2521, WICKET-2491), Cosine Score: 0.9154598116874695, Label: 1
Pair: (WICKET-2551, WICKET-2339), Cosine Score: 0.8905828595161438, Label: 1
Pair: (WICKET-2607, WICKET-2541), Cosine Score: 0.6858522891998291, Label: 1
Pair: (WICKET-2622, WICKET-2613), Cosine Score: 0.7891178131103516, Label: 1
Pair: (WICKET-2627, WICKET-2620), Cosine Score: 0.9629328846931458, Label: 1
Pair: (WICKET-2634, WICKET-2502), Cosine Score: 0.9492647647857666, Label: 1
Pair: (WICKET-2711, WICKET-2078), Cosine Score: 0.9222887754440308, Label: 1
Pair: (WICKET-2726, WICKET-2491), Cosine Score: 0.9825445413589478, Label: 1
Pair: (WICKET-2726, WICKET-2521), Cosine Score: 0.9041851758956909, Label: 1
Pair: (WICKET-2730, WICKET-2491), Cosine Score: 0.7934077978134155, Label: 1
Pair: (WICKET-2730, WICKET-2521), Cosine Score: 0.7949322462081909, Label: 1
Pair: (WICKET-2730, WICKET-2726), Cosine Score: 0.7916911840438843, Label: 1
Pair: (WICKET-2735, WICKET-2717), Cosine Score: 0.8029372692108154, Label: 1
Pair: (WICKET-2743, WICKET-2717), Cosine Score: 0.8564901947975159, Label: 1
Pair: (WICKET-2743, WICKET-2735), Cosine Score: 0.8664891719818115, Label: 1
Pair: (WICKET-2760, WICKET-2753), Cosine Score: 0.9012539982795715, Label: 1
Pair: (WICKET-2767, WICKET-2648), Cosine Score: 0.790613055229187, Label: 1
Pair: (WICKET-2768, WICKET-2717), Cosine Score: 0.7096768021583557, Label: 1
Pair: (WICKET-2768, WICKET-2735), Cosine Score: 0.8655472993850708, Label: 1
Pair: (WICKET-2768, WICKET-2743), Cosine Score: 0.8229374289512634, Label: 1
Pair: (WICKET-2773, WICKET-2648), Cosine Score: 0.7401652932167053, Label: 1
Pair: (WICKET-2773, WICKET-2767), Cosine Score: 0.8494174480438232, Label: 1
Pair: (WICKET-2779, WICKET-2662), Cosine Score: 0.9659110903739929, Label: 1
Pair: (WICKET-2805, WICKET-2648), Cosine Score: 0.826391339302063, Label: 1
Pair: (WICKET-2805, WICKET-2767), Cosine Score: 0.8930267691612244, Label: 1
Pair: (WICKET-2805, WICKET-2773), Cosine Score: 0.8325003385543823, Label: 1
Pair: (WICKET-2807, WICKET-1448), Cosine Score: 0.8089494705200195, Label: 1
Pair: (WICKET-2841, WICKET-2648), Cosine Score: 0.753118634223938, Label: 1
Pair: (WICKET-2841, WICKET-2767), Cosine Score: 0.8921310305595398, Label: 1
Pair: (WICKET-2841, WICKET-2773), Cosine Score: 0.9418061375617981, Label: 1
Pair: (WICKET-2841, WICKET-2805), Cosine Score: 0.8762115836143494, Label: 1
Pair: (WICKET-2842, WICKET-2577), Cosine Score: 0.8395510911941528, Label: 1
Pair: (WICKET-2872, WICKET-2636), Cosine Score: 0.947995126247406, Label: 1
Pair: (WICKET-2875, WICKET-2741), Cosine Score: 0.8718807697296143, Label: 1
Pair: (WICKET-2958, WICKET-1987), Cosine Score: 0.8157097101211548, Label: 1
Pair: (WICKET-2999, WICKET-1572), Cosine Score: 0.8137910962104797, Label: 1
Pair: (WICKET-3042, WICKET-3040), Cosine Score: 0.9047374129295349, Label: 1
Pair: (WICKET-3334, WICKET-3333), Cosine Score: 0.8086426258087158, Label: 1
Pair: (WICKET-3392, WICKET-3218), Cosine Score: 0.9088675379753113, Label: 1
Pair: (WICKET-3472, WICKET-3093), Cosine Score: 0.8805522918701172, Label: 1
Pair: (WICKET-3631, WICKET-3576), Cosine Score: 0.8098377585411072, Label: 1
Pair: (WICKET-3648, WICKET-3500), Cosine Score: 0.8466928005218506, Label: 1
Pair: (WICKET-3699, WICKET-3670), Cosine Score: 0.7681484222412109, Label: 1
Pair: (WICKET-3722, WICKET-3690), Cosine Score: 0.8567115664482117, Label: 1
Pair: (WICKET-3743, WICKET-3649), Cosine Score: 0.9146836996078491, Label: 1
Pair: (WICKET-3798, WICKET-3719), Cosine Score: 0.8154442310333252, Label: 1
Pair: (WICKET-3801, WICKET-3433), Cosine Score: 0.9649479389190674, Label: 1
Pair: (WICKET-3889, WICKET-3878), Cosine Score: 0.6428627967834473, Label: 1
Pair: (WICKET-3908, WICKET-1816), Cosine Score: 0.8621142506599426, Label: 1
Pair: (WICKET-3923, WICKET-3525), Cosine Score: 0.9042718410491943, Label: 1
Pair: (WICKET-3943, WICKET-3820), Cosine Score: 0.9114249348640442, Label: 1
Pair: (WICKET-3951, WICKET-3773), Cosine Score: 0.7219178080558777, Label: 1
Pair: (WICKET-3982, WICKET-3847), Cosine Score: 0.8329381346702576, Label: 1
Pair: (WICKET-3985, WICKET-3820), Cosine Score: 0.759333074092865, Label: 1
Pair: (WICKET-3985, WICKET-3943), Cosine Score: 0.851340651512146, Label: 1
Pair: (WICKET-4018, WICKET-3847), Cosine Score: 0.7683520913124084, Label: 1
Pair: (WICKET-4018, WICKET-3982), Cosine Score: 0.8889380693435669, Label: 1
Pair: (WICKET-4119, WICKET-4110), Cosine Score: 0.6625328660011292, Label: 1
Pair: (WICKET-4153, WICKET-4142), Cosine Score: 0.8529837727546692, Label: 1
Pair: (WICKET-4157, WICKET-4111), Cosine Score: 0.8750002384185791, Label: 1
Pair: (WICKET-4178, WICKET-4170), Cosine Score: 0.942624032497406, Label: 1
Pair: (WICKET-4193, WICKET-4071), Cosine Score: 0.8761150240898132, Label: 1
Pair: (WICKET-4263, WICKET-4247), Cosine Score: 0.8335762023925781, Label: 1
Pair: (WICKET-4290, WICKET-4287), Cosine Score: 0.8003656268119812, Label: 1
Pair: (WICKET-4293, WICKET-3957), Cosine Score: 0.8145026564598083, Label: 1
Pair: (WICKET-4294, WICKET-4084), Cosine Score: 0.7995562553405762, Label: 1
Pair: (WICKET-4335, WICKET-4320), Cosine Score: 0.868475615978241, Label: 1
Pair: (WICKET-4360, WICKET-4286), Cosine Score: 0.8005499839782715, Label: 1
Pair: (WICKET-4382, WICKET-3947), Cosine Score: 0.9303237199783325, Label: 1
Pair: (WICKET-4397, WICKET-4366), Cosine Score: 0.9279987812042236, Label: 1
Pair: (WICKET-4421, WICKET-4359), Cosine Score: 0.6376931071281433, Label: 1
Pair: (WICKET-4442, WICKET-4260), Cosine Score: 0.8096649646759033, Label: 1
Pair: (WICKET-4456, WICKET-4379), Cosine Score: 0.9197021722793579, Label: 1
Pair: (WICKET-4470, WICKET-4366), Cosine Score: 0.9149044156074524, Label: 1
Pair: (WICKET-4470, WICKET-4397), Cosine Score: 0.9471487402915955, Label: 1
Pair: (WICKET-4475, WICKET-4230), Cosine Score: 0.8347947001457214, Label: 1
Pair: (WICKET-4508, WICKET-4438), Cosine Score: 0.8669081330299377, Label: 1
Pair: (WICKET-4515, WICKET-3525), Cosine Score: 0.8838251233100891, Label: 1
Pair: (WICKET-4515, WICKET-3923), Cosine Score: 0.8827467560768127, Label: 1
Pair: (WICKET-4549, WICKET-4548), Cosine Score: 0.9584788680076599, Label: 1
Pair: (WICKET-4581, WICKET-4569), Cosine Score: 0.8947974443435669, Label: 1
Pair: (WICKET-4644, WICKET-4641), Cosine Score: 0.7261925339698792, Label: 1
Pair: (WICKET-4654, WICKET-4545), Cosine Score: 0.8274393677711487, Label: 1
Pair: (WICKET-4665, WICKET-4366), Cosine Score: 0.823387086391449, Label: 1
Pair: (WICKET-4665, WICKET-4397), Cosine Score: 0.8205137252807617, Label: 1
Pair: (WICKET-4665, WICKET-4470), Cosine Score: 0.8535784482955933, Label: 1
Pair: (WICKET-4692, WICKET-4142), Cosine Score: 0.8568336963653564, Label: 1
